organisation_alias_id,organisation_entity_id,alias,org_ref,role,source_activity_count,source_layer
org_alias_cc579f2f03ec,org_9f9a39a5a240,Germany,DE-1,funding,48,canonical
org_alias_87f3623af37f,org_31fbf2ee12b2,United Kingdom Committee for UNICEF,XM-DAC-41122-C45301,funding,48,canonical
org_alias_f8732fc6e094,org_6395c2769f1c,ADVENTIST DEVELOPEMENT AND RELIEF AGENCY DRC CONGO,XM-DAC-41122-VN-224429,implementing,47,canonical
org_alias_00d0fd6b24a0,org_8115a4cf873d,Malaria Consortium,GB-CHC-1099776,implementing,47,canonical
org_alias_a0b80dfd8679,org_3ca95d453fed,Netherlands,XM-DAC-7,funding,47,canonical
org_alias_204247eae628,org_0f0fedbf2960,IP not published,XM-DAC-41122-VN-239608,implementing,46,canonical
org_alias_e05ff9944ca6,org_9c72d04b03bd,IP not published,XM-DAC-41122-VN-236409,implementing,46,canonical
org_alias_8fd9831682b9,org_a0a3e9f8ad71,IP not published,XM-DAC-41122-VN-203037,implementing,46,canonical
org_alias_1814b6c6421a,org_151e2e7760da,UN Joint Programme,XM-DAC-41114,funding,46,canonical
org_alias_13893256ee61,org_288e87e81bf8,Global - Nutrition,XM-DAC-41122-T49953,funding,44,canonical
org_alias_d859b198d4a1,org_7eecdb46db9c,"Université, institut d'education et autre institution d'enseignement, institut de recherche ou groupe de réflexion",XM-DAC-51000,implementing,44,canonical
org_alias_84a29e8ceb1e,org_5c1b932e7b70,"Ministry of Foreign Affairs, Denmark",XM-DAC-3-1,funding,42,canonical
org_alias_c220c941f829,org_5c1b932e7b70,"Ministry of Foreign Affairs, Denmark",XM-DAC-3-1,reporting,42,canonical
org_alias_2d78be0aab3c,org_55e5fdd3063e,Engagement Global gGmbH,,accountable,41,canonical
org_alias_26ea2b092047,org_7fa416fa36ca,Canadian UNICEF Committee,XM-DAC-41122-C07201,funding,40,canonical
org_alias_3fdbad1179f4,org_ab3aa9c2fd63,WORLD VISION INTERNATIONAL,US-EIN-95-3202116,implementing,39,canonical
org_alias_8ed869f85b6e,org_111fc4ad0d0c,Canada,CA,funding,37,canonical
org_alias_928b1b989661,org_507fdbf5ec8f,"Foreign Affairs, Trade and Development Canada (DFATD)",CA-3,reporting,37,canonical
org_alias_fb56111c7827,org_31a7d12e13fd,Ministry of Foreign Affairs,KR-GOV-050,funding,37,canonical
org_alias_dddb0efca526,org_962cbb2ace6e,YOUNG CHILD SURVIVAL & DEVELOPMENT,XM-DAC-41122-T49908,funding,37,canonical
org_alias_fff8624e05eb,org_a5a985e1805e,Committee for UNICEF Switzerland,XM-DAC-41122-C57501,funding,36,canonical
org_alias_ecd5be3ea95f,org_43c9dae7d836,Sweden,SE-0,funding,36,canonical
org_alias_8297665f6b01,org_43c9dae7d836,Sweden,SE-0,reporting,36,canonical
org_alias_41841159dfbb,org_927ede3ef886,Nutrition International,CA-CRA_ACR-869974816,funding,35,canonical
org_alias_b0911a2a0b1d,org_1a04bec92649,STATE MINISTRY OF HEALTH UNITY,XM-DAC-41122-VN-217712,implementing,35,canonical
org_alias_80b0c9f9d7ed,org_8b4dad7cea2d,Canada/GID,CA-4,funding,34,canonical
org_alias_153ba9446e84,org_1db9a333c7f8,Direction-Générale Coopération au Développement et Aide humanitaire,XM-DAC-2-10,funding,34,canonical
org_alias_cc419aa20bb3,org_8f33c902f1a4,STATE MINISTRY OF HEALTH WESTERN EQUATORIA,XM-DAC-41122-VN-217716,implementing,34,canonical
org_alias_f8e44b99df35,org_9f9a39a5a240,KfW - Germany,DE-1,funding,33,canonical
org_alias_3348da986c6f,org_cd9ccfa8ab70,USA CDC,US-USAGOV,funding,33,canonical
org_alias_743c08d0d9fb,org_1d31aa894b28,Bill &amp; Melinda Gates Foundation,DAC-1601,funding,32,canonical
org_alias_651afd4638ba,org_d5bd9b6eaffa,Norway,NO-BRC-971277882,funding,32,canonical
org_alias_07f42b2d0971,org_fa9cad3d367c,Secteur privé du pays bénéficiaire,XM-DAC-62000,implementing,32,canonical
org_alias_fd06781fa4a2,org_151e2e7760da,UNDP - UN Development Programme,XM-DAC-41114,funding,32,canonical
org_alias_e77e51a69021,org_8b4dad7cea2d,Canada/IHA,CA-4,funding,31,canonical
org_alias_4398b736931b,org_0ca5f946b33a,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,funding,31,canonical
org_alias_a84ba1caae08,org_0ca5f946b33a,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,reporting,31,canonical
org_alias_66b484aedd12,org_dd01d271b88a,UNFPA - UN Population Fund,XM-DAC-41119,funding,31,canonical
org_alias_915a8c826fe0,org_64dd637d4a5f,Save The Children International,GB-CHC-1076822,implementing,30,canonical
org_alias_9718e09cb3bb,org_541d1376bab0,Save The Children UK,GB-COH-213890,accountable,30,canonical
org_alias_ee88d7427b29,org_1aaa3157dcec,Gouvernement local (SUD/EST),XM-DAC-12002,implementing,29,canonical
org_alias_d57ae4d4b903,org_876fb498119e,Japan Committee for UNICEF,XM-DAC-41122-C23101,funding,28,canonical
org_alias_a241de5ba690,org_d519f4b3c443,USAID/Food for Peace,US-GOV-1,funding,28,canonical
org_alias_f40128c422a8,org_08f9668061e0,Vysoká škola zdravotníctva a sociálnej práce sv. Alžbety,XM-DAC-69-2,accountable,28,canonical
org_alias_fd48eb5c977e,org_38fe6b5adbe6,World Bank - Washington D.C.,44000,funding,28,canonical
org_alias_b34f7b1cfe83,org_174c4423de9e,AFD,FR-3,reporting,27,canonical
org_alias_8404f5e56de2,org_1b8c6d4e0012,COUNTY GOVERNMENT OF MARSABIT DEPARTMENT OF HEALTH SERVICES,XM-DAC-41122-VN-230540,implementing,27,canonical
org_alias_e773f729e2f8,org_839cd73be018,Donor country-based NGO,XM-DAC-22000,implementing,27,canonical
org_alias_718c0074402f,org_3356eb8a871e,France,FR,funding,27,canonical
org_alias_a5000a24c9e3,org_6535ef19d19a,International Development Research Centre,XM-DAC-301-2,reporting,27,canonical
org_alias_d4be88821ed3,org_d5bd9b6eaffa,Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,reporting,27,canonical
org_alias_8557f69232c6,org_b6f5a1117bc7,Norwegian Government,,funding,27,canonical
org_alias_17d83b659bd6,org_6535ef19d19a,Canada. Parliament,XM-DAC-301-2,funding,26,canonical
org_alias_4e77b32c4a93,org_110c839bdcb6,Netherlands Enterprise Agency,NL-KVK-27378529,accountable,26,canonical
org_alias_28dbe3d009e6,org_110c839bdcb6,Netherlands Enterprise Agency,NL-KVK-27378529,reporting,26,canonical
org_alias_81e339c5fd69,org_fa9cad3d367c,Private sector in recipient country,XM-DAC-62000,implementing,26,canonical
org_alias_11fe36b2dfac,org_77bf18ac5dc8,France,FR-6,funding,25,canonical
org_alias_62d5767363db,org_1c46b1866a93,Ireland,XM-DAC-21-1,funding,25,canonical
org_alias_67ae54d19861,org_45505f7316cd,RBC RWANDA BIOMEDICAL CENTER,XM-DAC-41122-VN-233051,implementing,25,canonical
org_alias_6e1363e02b49,org_cd9ccfa8ab70,USA (State) GHSD,US-USAGOV,funding,25,canonical
org_alias_95ff27b18d5e,org_0eecaaddf4c8,VLIR-UOS,BE-BCE_KBO-0418766123,accountable,25,canonical
org_alias_257c1647d735,org_0eecaaddf4c8,VLIR-UOS,BE-BCE_KBO-0418766123,funding,25,canonical
org_alias_693850406c91,org_0eecaaddf4c8,VLIR-UOS - Vlaamse Interuniversitaire Raad - Flemish Interuniversity Council,BE-BCE_KBO-0418766123,reporting,25,canonical
org_alias_dcfe47ba3f87,org_f8a30ff56dbf,CHANCE FOR CHILDHOOD CFC,XM-DAC-41122-VN-238433,implementing,24,canonical
org_alias_3b5f910aec17,org_1ffd06c941b2,German Federal Foreign Office,XM-DAC-5-7,funding,24,canonical
org_alias_492e91d1ee80,org_61991ba80421,Italy,XM-DAC-6-4,funding,24,canonical
org_alias_05974b7e8e75,org_b9118bf33159,Programme alimentaire mondial,XM-DAC-41140,implementing,24,canonical
org_alias_bd485245a038,org_f77fbea7407e,UN Pooled Funds,XI-IATI-UNPF,funding,24,canonical
org_alias_1549ed7a553b,org_f77fbea7407e,UN Pooled Funds,XI-IATI-UNPF,reporting,24,canonical
org_alias_afe47cb62f2c,org_cd9ccfa8ab70,USA (State) BPRM,US-USAGOV,funding,24,canonical
org_alias_89108b5e3d96,org_43bac30df96b,DEPARTMENT OF FINANCE AND ECONOMIC PLANNING,XM-DAC-41122-VN-245807,implementing,23,canonical
org_alias_24009c74b49d,org_5c1b932e7b70,Denmark,XM-DAC-3-1,funding,23,canonical
org_alias_59fa299f3856,org_787479b35a2f,Global - Health,XM-DAC-41122-T49950,funding,23,canonical
org_alias_6bcfd076e441,org_09417b67be5d,IP not published,XM-DAC-41122-VN-234723,implementing,23,canonical
org_alias_73a139fc737e,org_64dd637d4a5f,Save The Children International,GB-CHC-1076822,reporting,23,canonical
org_alias_148f1b91680d,org_541d1376bab0,Save The Children UK,GB-COH-213890,funding,23,canonical
org_alias_530cc65cff93,org_2a6a69d5a021,WASH ALLIANCE SOCIETY OF KENYA,XM-DAC-41122-VN-241723,implementing,23,canonical
org_alias_b5bf24984b83,org_4c7dbd3d7ee7,GATONDE DISTRICT HOSPITAL,XM-DAC-41122-VN-244147,implementing,22,canonical
org_alias_c85340954f92,org_6e1a4e4a8d8d,Global - Water Sanitation & Hygiene,XM-DAC-41122-T49952,funding,22,canonical
org_alias_1764d69ac50d,org_8fa9feefa2a5,HELP A CHILD RWANDA,XM-DAC-41122-VN-239437,implementing,22,canonical
org_alias_a003429f74c5,org_75e4500861ba,KOICA,KR-GOV-051,implementing,22,canonical
org_alias_67befcb1225b,org_0ca5f946b33a,The Global Fund to Fight AIDS,47045,funding,22,canonical
org_alias_f9d5991bae2c,org_2de0bd70bdce,United Nations Office for Project Services,41AAA,accountable,22,canonical
org_alias_df6e7bb38ccc,org_2de0bd70bdce,United Nations Office for Project Services,41AAA,implementing,22,canonical
org_alias_74d9e7d10623,org_2de0bd70bdce,United Nations Office for Project Services,41AAA,reporting,22,canonical
org_alias_efeff46fa74e,org_b801607cb002,Central Government,XM-DAC-12001,accountable,21,canonical
org_alias_1031ce43dc0f,org_b25a6e688e07,KZE - Katholische Zentralstelle für Entwicklungshilfe e.V.,,accountable,21,canonical
org_alias_baf41943ab79,org_151e2e7760da,Programme des Nations Unies pour le développement,XM-DAC-41114,implementing,21,canonical
org_alias_872cc4de9893,org_aa16e0a2122a,Global - HIV and AIDS,XM-DAC-41122-T49951,funding,20,canonical
org_alias_459b493931b4,org_a28c124eaf7e,PS MINISTRY OF EDUCATION AND VOCATIONAL TRAINING ZNZ,XM-DAC-41122-VN-209817,implementing,20,canonical
org_alias_c244df7ebcd1,org_fe55c9d1706c,Australia,AU-5,funding,19,canonical
org_alias_fd1a1ef93589,org_3c1ffd59292c,"Directorate-General for International Partnerships (INTPA), European Commission",,funding,19,canonical
org_alias_c70211d694bd,org_cf03d3e44917,Innovations for Poverty Action,061660068,reporting,19,canonical
org_alias_661ec42f41bb,org_05d4b49f0d92,International Rescue Committee Inc.,US-EIN-13-5660870,reporting,19,canonical
org_alias_a2a7e8299e48,org_92308f73aeac,UNITAID,XM-DAC-30010,funding,19,canonical
org_alias_a0569650910f,org_a3da1c709a60,EZE - Evangelische Zentralstelle für globale Entwicklung e.V.,,accountable,18,canonical
org_alias_01dc13898111,org_20a582d96c13,IP not published,XM-DAC-41122-VN-30,implementing,18,canonical
org_alias_43ac44856d5a,org_90d8c18cb0ff,UK - Department of Health and Social Care (DHSC),GB-GOV-10,funding,18,canonical
org_alias_683e59123124,org_61991ba80421,AICS - Italian Agency for Cooperation and Development,XM-DAC-6-4,accountable,17,canonical
org_alias_0f4fafae3248,org_61991ba80421,AICS - Italian Agency for Cooperation and Development,XM-DAC-6-4,funding,17,canonical
org_alias_ea4009658524,org_61991ba80421,AICS - Italian Agency for Cooperation and Development,XM-DAC-6-4,reporting,17,canonical
org_alias_a1101187b4ff,org_10d2303f236a,Fonds des Nations Unies pour l'enfance,XM-DAC-41122,implementing,17,canonical
org_alias_9e2bf18a7304,org_a44964c58a64,French Committee for UNICEF,XM-DAC-41122-C14701,funding,17,canonical
org_alias_6d707efa5a95,org_5a0d5ef78d32,INTERNATIONAL NGO,XM-DAC-21000,accountable,17,canonical
org_alias_7fcdcc3334d0,org_b8a3fd29f053,King Salman Humanitarian Aid and Relief Centre,XM-OCHA-HPC6770,reporting,17,canonical
org_alias_1744e8cff96d,org_e7dae248162e,Republic of South Sudan,XM-DAC-41122-G40401,funding,17,canonical
org_alias_af3f1a398feb,org_b801607cb002,XM-DAC-12001,XM-DAC-12001,implementing,17,canonical
org_alias_39b5b6e4e495,org_9e74d9f48320,Central Emergency Response Fund,XM-OCHA-CERF,funding,16,canonical
org_alias_6049fd055a65,org_231964c5a956,Donor Pooled Fund (mixed donors),XM-DAC-41122-J49904,funding,16,canonical
org_alias_c15058a74ca5,org_88ebb8668fd5,European Investment Bank,XM-DAC-918-3,funding,16,canonical
org_alias_3d3cdb00bd6a,org_6d673f26a4c1,"Gavi, the Vaccine Alliance",,funding,16,canonical
org_alias_cce49afcc32b,org_110c839bdcb6,Netherlands Enterprise Agency,NL-KVK-27378529,implementing,16,canonical
org_alias_52444db9b57e,org_3ca95d453fed,Netherlands Ministry of Foreign Affairs,XM-DAC-7,funding,16,canonical
org_alias_338dc17494cf,org_ab4590b9454c,Other public entities in recipient country,XM-DAC-12004,accountable,16,canonical
org_alias_6961c22ad400,org_cd2a37e07b0b,UNAIDS - Joint UN Programme,XM-DAC-41110,funding,16,canonical
org_alias_9c68f4e93683,org_5fc2867663a4,United Arab Emirates,XM-DAC-576,funding,16,canonical
org_alias_8a94267f0454,org_b8a3fd29f053,King Salman Humanitarian Aid and Relief Centre,XM-OCHA-HPC6770,funding,15,canonical
org_alias_6f74ff16d2c9,org_f8745630db84,Health Research Operations Kenya Limited,XM-DAC-23000,implementing,14,canonical
org_alias_7db9e0b4acee,org_1524f9fdca14,IP not published,XM-DAC-41122-VN-230058,implementing,14,canonical
org_alias_f0b14c4c13de,org_7e6cd4be5385,IP not published,XM-DAC-41122-VN-243855,implementing,14,canonical
org_alias_18c42c8a355c,org_79620da9f812,Malaria Consortium US Inc,,funding,14,canonical
org_alias_336506531017,org_3444c1003ec6,NATIONAL COUNCIL FOR PERSONS WITH DISABILITIES,XM-DAC-41122-VN-248575,implementing,14,canonical
org_alias_b7b39363e29b,org_7c2147904355,Netherlands Committee for UNICEF,NL-KVK-27102631,funding,14,canonical
org_alias_a50351977d29,org_4d5d6d241526,UNICEF-Saudi Arabia,XM-DAC-41122-F37801,funding,14,canonical
org_alias_c13426f36f79,org_cd9ccfa8ab70,United States of America,US-USAGOV,funding,14,canonical
org_alias_a99a5772b2d9,org_d7467a19807d,World Bank Trust Funds,XI-IATI-WBTF,reporting,14,canonical
org_alias_4d1e1d49b5b1,org_247a8d364ad7,Ethiopiaid,GB-CHC-802353,reporting,13,canonical
org_alias_05f2977fbbdf,org_991f94d012b1,"Ministry of Foreign Affairs, Ireland",,funding,13,canonical
org_alias_ee7145b5ee76,org_1288c5f3250f,Rotary International,XM-DAC-41122-N49908,funding,13,canonical
org_alias_4c2e5758b9a9,org_59e1382c722f,Susan Thompson Buffett Foundation,,funding,13,canonical
org_alias_91e9b4883776,org_8f1536b484de,THET,GB-CHC-1113101,accountable,13,canonical
org_alias_4db1eb07ab85,org_8f1536b484de,THET,GB-CHC-1113101,reporting,13,canonical
org_alias_3fbf84d1b179,org_ef2a15536328,UNICEF-United Arab Emirates,XM-DAC-41122-F44901,funding,13,canonical
org_alias_c03a05c7a398,org_e94148454e35,United Nations Multi-Partner Trust Fund Office (MPTFO),,funding,13,canonical
org_alias_0e7be08ada3a,org_7eecdb46db9c,"University, college or other teaching institution, research institute or think?tank",XM-DAC-51000,implementing,13,canonical
org_alias_0acd671570cf,org_906aee231f3a,WHO - World Health Organization,XM-DAC-928,funding,13,canonical
org_alias_4faca73adf34,org_afb08b12140b,WHO Foundation,,funding,13,canonical
org_alias_de3249a64bcb,org_88f6c68cb639,Danish Committee for UNICEF,XM-DAC-41122-C12001,funding,12,canonical
org_alias_43732570bcbf,org_9ddf45dd199f,"Foreign, Commonwealth &amp; Development Office (FCDO), United Kingdom",,funding,12,canonical
org_alias_8ae13edde1f4,org_8e6e3e86afa8,International Centre of Insect Physiology and Ecology (icipe),KE-KRA-P051097200R,reporting,12,canonical
org_alias_54a8860ba4b8,org_a3c56bc3164e,London School of Hygiene and Tropical Medicine,GB-EDU-133903,implementing,12,canonical
org_alias_5156c58681f8,org_3ca95d453fed,Netherlands - Ministry of Foreign Affairs,XM-DAC-7,funding,12,canonical
org_alias_424012690e10,org_b8a3fd29f053,Saudi Arabia,XM-OCHA-HPC6770,funding,12,canonical
org_alias_4aaa55e14111,org_1ae6ab7dc229,Swedish Committee for UNICEF,XM-DAC-41122-C41101,funding,12,canonical
org_alias_cd5615038447,org_05d4b49f0d92,The International Rescue Committee,US-EIN-13-5660870,implementing,12,canonical
org_alias_c6eec2780e16,org_90d8c18cb0ff,UK - Department of Health and Social Care (DHSC),GB-GOV-10,accountable,12,canonical
org_alias_f230367d3f5e,org_90d8c18cb0ff,UK - Department of Health and Social Care (DHSC),GB-GOV-10,reporting,12,canonical
org_alias_b2ba5895adb5,org_d96f8fde4782,"UK - Foreign, Commonwealth and Development Office",GB-GOV-1,funding,12,canonical
org_alias_382108d37404,org_abdb978cf115,Australian Committee for UNICEF,XM-DAC-41122-C02701,funding,11,canonical
org_alias_44c3fdcb41a4,org_1db9a333c7f8,Belgium,XM-DAC-2-10,funding,11,canonical
org_alias_c0daf086ca5f,org_d96f8fde4782,British Government (DFID),GB-GOV-1,funding,11,canonical
org_alias_f72eb2612107,org_7a27e999ef54,Clinton Health Access Initiative Inc,US-EIN-27-1414646,implementing,11,canonical
org_alias_14cac18554a7,org_17e940f7dd7d,Cordaid,NL-KVK-41160054,reporting,11,canonical
org_alias_983ad0b08918,org_041e8e68f31f,Democratic Republic of the Congo,CD-COA-30,funding,11,canonical
org_alias_3960b7f16801,org_1db9a333c7f8,Directorate-general Development Cooperation and Humanitarian Aid,XM-DAC-2-10,funding,11,canonical
org_alias_96ef1182c19e,org_69e960ed136a,Ethiopia,ET-COA-152,funding,11,canonical
org_alias_0a17de534286,org_888a6cd184a0,Gouvernement du bénéficiaire,XM-DAC-12000,implementing,11,canonical
org_alias_e3e12468ae0c,org_cdc7d5643f34,IRC-UK,GB-CHC-1065972,reporting,11,canonical
org_alias_f6e78331d635,org_cdc7d5643f34,International Rescue Committee UK,GB-CHC-1065972,funding,11,canonical
org_alias_1987b55aff47,org_814be629a479,Kenya,KE-KRA-P051155108P,funding,11,canonical
org_alias_e90c1be35647,org_ffd0e95fa1f4,Ministry of Economy and Finance,KR-GOV-020,funding,11,canonical
org_alias_e0c2339cea15,org_c9e0005dc7a9,Ministry of Health and Welfare,KR-GOV-110,funding,11,canonical
org_alias_cd5705ef4ba9,org_4d3481bd1656,Palladium International Ltd (UK),GB-COH-02394229,implementing,11,canonical
org_alias_02c7305ce2fe,org_10d2303f236a,United Nations Children's Fund,XM-DAC-41122,accountable,11,canonical
org_alias_2630d0d0784a,org_e38f5aebf3ac,Amref Health Africa - UK,GB-CHC-261488,reporting,10,canonical
org_alias_5c9c43e4384e,org_936fc426e37c,Belgian Committee for UNICEF,BE-BCE_KBO-0407562029,funding,10,canonical
org_alias_97fcd96bb309,org_d11c3a5ccf18,Children&apos;s Investment Fund Foundation (UK),,funding,10,canonical
org_alias_f6996af4cf17,org_7a27e999ef54,Clinton Health Access Initiative,US-EIN-27-1414646,implementing,10,canonical
org_alias_4e14d54335be,org_92266702d717,EU-Commission of the European Communities,TF612001,funding,10,canonical
org_alias_d2292c9963d2,org_05d4b49f0d92,International Rescue Committee Inc.,US-EIN-13-5660870,implementing,10,canonical
org_alias_b3e2fc545102,org_cdc7d5643f34,International Rescue Committee UK,GB-CHC-1065972,accountable,10,canonical
org_alias_d70911510b0c,org_110c839bdcb6,Netherlands Enterprise Agency,NL-KVK-27378529,funding,10,canonical
org_alias_23dcbdac579b,org_ba6462d7f0c2,Oxford Policy Management,GB-COH-3122495,implementing,10,canonical
org_alias_6716956a8f2f,org_cce1ecabbcac,Switzerland,CH-4,funding,10,canonical
org_alias_216cb2a84658,org_adc8deda2486,UNICEF,41122,funding,10,canonical
org_alias_0337050164cb,org_c76478877539,United Nations Foundation Inc.,US-EIN-58-2368165,funding,10,canonical
org_alias_432ba74af594,org_71a798919964,United States Fund for UNICEF,US-EIN-13-1760110,implementing,10,canonical
org_alias_6cca4e2a2f06,org_ab4590b9454c,XM-DAC-12004,XM-DAC-12004,implementing,10,canonical
org_alias_8223789d671f,org_986a62f2d21a,ARES,BE-BCE_KBO-0546740696,accountable,9,canonical
org_alias_9de69c95fc6d,org_986a62f2d21a,ARES,BE-BCE_KBO-0546740696,funding,9,canonical
org_alias_66edc4fb01fd,org_986a62f2d21a,ARES - Académie de Recherche et d’Enseignement supérieur,BE-BCE_KBO-0546740696,reporting,9,canonical
org_alias_f57deab00304,org_6bfd26cc1358,BUDUDA DISTRICT LOCAL GOVERNMENT,XM-DAC-41122-VN-221023,implementing,9,canonical
org_alias_e047240022aa,org_1db9a333c7f8,Belgian Development Cooperation,XM-DAC-2-10,funding,9,canonical
