donor_intelligence_id,donor_name,project_count,active_projects,pipeline_projects,reported_budget,average_score,high_priority_opportunities,top_countries,top_equipment_categories,next_window,latest_update,source_layer
donor_intel_c61caad4350d,British Council,1,1,0,3139366.0,21.7,0,SO,,Monitor,,intelligence
donor_intel_f749e7bf725a,PricewaterhouseCoopers,1,1,0,3139366.0,21.7,0,SO,,Monitor,,intelligence
donor_intel_d6af6490fb4b,UniversitiesUK International,1,1,0,3139366.0,21.7,0,SO,,Monitor,,intelligence
donor_intel_6ac83d9a4037,Global Fund To Fight AidscommaTuberculosis And Malaria,1,1,0,3124594.61,21.7,0,SO,,Monitor,,intelligence
donor_intel_ea421dd1009a,The HALO Trust,1,1,0,3117548.0,21.7,0,SO,,Monitor,,intelligence
donor_intel_c3e99dc6c0a6,Roche Kenya Limited,2,2,0,3102418.43,41.0,0,KE; TZ,,Q4 2026,,intelligence
donor_intel_fc987769ab6f,GAVI,2,2,0,3093124.0,35.1,0,SS,,Active through Q4 2026; Q4 2026,,intelligence
donor_intel_b9f8a872e42a,ATScale,1,1,0,3085538.16,21.7,0,BR; GB; GH; IN,,Monitor,,intelligence
donor_intel_710a97b96392,Google Inc.,1,1,0,3085538.16,21.7,0,BR; GB; GH; IN,,Monitor,,intelligence
donor_intel_57d15d84b3ac,Novo Nordisk Foundation,5,5,0,3072413.14,39.4,0,SO; SS; KE,,Q4 2026,,intelligence
donor_intel_cef253b1a402,University College London,1,1,0,3026376.39,57.7,0,CI; GB; GH; KE,Diagnostic Equipment,Active through Q2 2028,,intelligence
donor_intel_16c2c065c852,Health Research Operations Kenya Limited,1,1,0,3026376.0,57.7,0,KE,Diagnostic Equipment,Monitor,,intelligence
donor_intel_7dd841631189,The Hunger Project Netherlands,4,4,0,3008889.24,20.4,0,UG; ET; SS,,Monitor,,intelligence
donor_intel_026a02bf1332,London School of Hygiene and Tropical Medicine,1,1,0,2984447.0,21.7,0,GB; KE; UG,,Monitor,,intelligence
donor_intel_36fdb1572757,Joint United Nations Programme on HIV/AIDS (UNAIDS),2,2,0,2961042.24,41.3,0,UG,,Q4 2026,,intelligence
donor_intel_faa694d9516f,DAI Global Health,1,1,0,2952566.0,21.7,0,SS,,Monitor,,intelligence
donor_intel_a16986d3001c,"Ministry of Foreign Affairs, Denmark",44,44,0,2909859.96,17.8,0,KE; TZ; RW; SO,Facility Infrastructure,Monitor; Q4 2026,,intelligence
donor_intel_a74be3a55fe2,AECID Agencia Española de Cooperación Internacional para el Desarrollo,3,3,0,2811929.02,39.5,0,ET; EG; JO; MA,,Q4 2026; Q3 2026,,intelligence
donor_intel_eae3995dc72d,Department of Health and Social Care (DHSC) Global Health Research,1,1,0,2789607.0,57.7,0,GB; KE,Diagnostic Equipment; Facility Infrastructure,Monitor,,intelligence
donor_intel_74eb16c16b5c,National Institute for Health and Care Research (NIHR),1,1,0,2749920.0,36.1,0,UG,,Q4 2027,,intelligence
donor_intel_3bb280c5675d,ACTION AGAINST HUNGER SPAIN,4,4,0,2658832.24,20.6,0,ET; KE; SS; UG,,Monitor,,intelligence
donor_intel_2b33df212831,Danish Refugee Council / Danish Demining Group (DRC/DDG),2,2,0,2600000.01,29.6,0,TZ; UG,,Monitor; Q2 2027,,intelligence
donor_intel_4f7955367d91,OneSight EssilorLuxottica Foundation,1,1,0,2542109.43,41.9,0,KE,,Q4 2026,,intelligence
donor_intel_002d05315493,OXFAM CANADA,4,4,0,2459307.0,29.9,0,UG,,Q4 2026; Active through Q2 2028,,intelligence
donor_intel_67c596500639,LEGO Foundation,2,2,0,2401550.98,40.7,0,TZ,,Q4 2026,,intelligence
donor_intel_88228032cc5c,ACTION AGAINST HUNGER USA,1,1,0,2388168.0,39.6,0,SO,,Monitor,,intelligence
donor_intel_817cdf91d747,"Department of Health and Social Care, United Kingdom",2,2,0,2381572.66,40.8,0,ET; KE,,Q4 2026,,intelligence
donor_intel_30a14d1476de,Fondation NIF,1,1,0,2354424.0,21.6,0,CD,,Monitor,,intelligence
donor_intel_903356eb58d0,Louvain Coopération,1,1,0,2354424.0,21.6,0,CD,,Monitor,,intelligence
donor_intel_0d7013f5a11c,Mangrove Foundation,1,1,0,2354424.0,21.6,0,CD,,Monitor,,intelligence
donor_intel_039ebb987cf2,Orval,1,1,0,2354424.0,21.6,0,CD,,Monitor,,intelligence
donor_intel_d798b1ff638d,Spanish Agency for International Cooperation (AECID),2,2,0,2348648.72,40.8,0,ET; RW,,Q4 2026,,intelligence
donor_intel_12d8613048f1,Crown Agents Limited,3,3,0,2215681.0,42.5,0,SS,Facility Infrastructure,Monitor,,intelligence
donor_intel_2261cc55a9c7,Donor Entity,1,1,0,2192989.0,21.5,0,UG,,Monitor,,intelligence
donor_intel_57d57b8301da,"Gilead Sciences, Inc.",4,4,0,2123953.58,39.6,0,SS; ET; KE,,Q4 2026,,intelligence
donor_intel_5b7d0263566d,Amref Flying Doctors,5,4,1,2121386.0,27.2,0,KE; ET; UG; ZM,Facility Infrastructure,Monitor,,intelligence
donor_intel_1dd754f8dd5e,Health Pooled Fund South Sudan,3,3,0,2079860.0,30.6,0,SS,,Monitor,,intelligence
donor_intel_cef42f2be67b,Education Cannot Wait,1,1,0,2036105.0,21.5,0,UG,,Monitor,,intelligence
donor_intel_5827adb67bf6,Ministry of Foreign Affairs of the Netherlands,2,2,0,2000000.0,21.0,0,UG,,Monitor,,intelligence
donor_intel_4667cf729cbc,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2,2,0,1893837.0,34.7,0,SO; UG,Diagnostic Equipment,Active through Q4 2026; Monitor,,intelligence
donor_intel_413f8fd9f558,Bayer AG,1,1,0,1864130.0,41.6,0,CD,,Q4 2026,,intelligence
donor_intel_9babfe29e78f,Send a Cow UK,3,3,0,1825111.0,17.8,0,ET; UG,,Monitor,,intelligence
donor_intel_f1479c2590a0,DE-1,1,1,0,1780699.0,41.4,0,KE,,Q1 2027,,intelligence
donor_intel_a4fb0b4e2d9e,Abt Associates Inc.,1,1,0,1663360.0,21.3,0,GB; MW; TZ; ZM,,Monitor,,intelligence
donor_intel_244d94344828,Heifer Nederland,1,1,0,1625111.0,21.3,0,ET,,Monitor,,intelligence
donor_intel_dd735da7e42a,Australian Centre for International Agricultural Research,2,2,0,1595700.0,51.3,0,UG; KE,,Q2 2027,,intelligence
donor_intel_f0017815f126,Direction-Générale Coopération au Développement et Aide humanitaire,34,34,0,1582330.0,27.0,0,CD; UG; ET; KE,Diagnostic Equipment; Facility Infrastructure; IT / Health Information Systems,Active through Q3 2027; Q4 2026,,intelligence
donor_intel_b1d2fb9e3b13,ARES,9,9,0,1582330.0,23.6,0,CD,,Active through Q3 2027; Q4 2026,,intelligence
donor_intel_9b8572428089,World Vision International,1,1,0,1493908.26,41.3,0,SO,,Q4 2026,,intelligence
donor_intel_de41976ccb8a,Dutch Relief Alliance,1,1,0,1468342.84,21.3,0,SO,,Monitor,,intelligence
donor_intel_78b948f88f6e,"Government of Wallonia, Belgium",1,1,0,1451934.94,41.3,0,CD,,Q4 2026,,intelligence
donor_intel_5e0e381f539b,World Vision Netherlands,1,1,0,1430231.64,21.2,0,UG,,Monitor,,intelligence
donor_intel_579c450159ed,GSK plc,1,1,0,1428786.03,41.3,0,UG,,Q4 2026,,intelligence
donor_intel_b380814d6c43,Swiss Development Cooperation Agency (SDC/DDC),1,1,0,1409069.42,41.2,0,TZ,,Q4 2026,,intelligence
donor_intel_09a23944edc5,Loterie Nationale,1,1,0,1384590.0,21.2,0,CD,,Monitor,,intelligence
donor_intel_0e975985ae7a,UNOPS,3,3,0,1353331.0,27.0,0,SS; KE,,Monitor; Q4 2026,,intelligence
donor_intel_291f0d8e8b07,"Merck Sharp and Dohme Corp.,",1,1,0,1346992.63,41.2,0,KE,,Q4 2026,,intelligence
donor_intel_9b862e9b95e3,Carter Center,2,2,0,1141850.86,40.2,0,ET; SS,,Q4 2026,,intelligence
donor_intel_d5654472772f,Open Philanthropy,1,1,0,1139087.0,21.1,0,CD,,Active through Q1 2027,,intelligence
donor_intel_4fe0be3f4a8c,UNDP Administered Donor Joint Trust Fund (UNJ),1,1,0,1100000.01,38.1,0,SO,,Q1 2027,,intelligence
donor_intel_981796dffcb4,The Task Force for Global Health,2,2,0,1097730.0,20.5,0,TZ,,Active through Q4 2026,,intelligence
donor_intel_936cd4450a53,Christian Blind Mission (UK) Ltd.,1,1,0,901802.87,20.9,0,RW,,Monitor,,intelligence
donor_intel_2068c19d2e43,Grand Challenges Canada,1,1,0,896427.0,20.9,0,UG,,Monitor,,intelligence
donor_intel_9ab34d6b2aaa,Mainline,2,2,0,891093.0,38.2,0,KE; TZ,Diagnostic Equipment,Monitor,,intelligence
donor_intel_2fab632c6784,Gesundes Afrika e.V.,1,1,0,872726.0,56.9,0,UG,Facility Infrastructure,Monitor,,intelligence
donor_intel_4fee3e53afa7,World Health Orgaisation,1,1,0,838311.0,56.9,0,KE,Diagnostic Equipment,Monitor,,intelligence
donor_intel_61e4d1a7b175,Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,1,1,0,837704.75,20.9,0,CD,,Monitor,,intelligence
donor_intel_d28e608ba338,Sightsavers,2,2,0,815020.0,20.4,0,TZ; UG,,Active through Q4 2026; Monitor,,intelligence
donor_intel_80c91f0290f4,Action Against Hunger UK,1,1,0,809916.0,20.9,0,SO,,Monitor,,intelligence
donor_intel_57ffd823e908,Bill & Melinda Gates Foundation,1,1,0,801497.0,20.9,0,UG,,Monitor,,intelligence
donor_intel_0b2600433840,KE-NCB-21805113043590,1,1,0,797909.0,20.9,0,KE,,Monitor,,intelligence
donor_intel_ea66d2742686,Fundaci?n Anesvad,1,1,0,791591.02,40.6,0,ET,,Q4 2026,,intelligence
donor_intel_03e653fbcd02,Hilfsaktion Noma e.V.,1,1,0,791591.02,40.6,0,ET,,Q4 2026,,intelligence
donor_intel_98b07f87399e,Country Learn & Skilled for Work &,1,1,0,754820.0,59.7,0,UG,,Q1 2027,,intelligence
donor_intel_76ef05ceec1c,Global Innovation Fund,2,2,0,750000.0,16.4,0,KE; UG,,Monitor,,intelligence
donor_intel_dec6361e4fb9,United Nations Development Programme (UNDP),1,1,0,749804.28,40.6,0,SO,,Q4 2026,,intelligence
donor_intel_4fb0e0630a94,Handicap International Belgique,1,1,0,737536.0,20.8,0,CD,,Monitor,,intelligence
donor_intel_519ac5e8dee8,DfID - Department for International Development UK,1,1,0,701999.99,20.8,0,SS,,Monitor,,intelligence
donor_intel_7c8cea41586a,Biovision Foundation,1,1,0,689965.0,20.8,0,KE,,Monitor,,intelligence
donor_intel_3bc15c8aae3e,-,1,1,0,687733.0,28.8,0,KE,,Active through Q4 2029,,intelligence
donor_intel_0cd98147ba2a,National Institutes of Health,1,0,1,676425.0,26.7,0,KE,,Monitor,,intelligence
donor_intel_59ad77e1e169,Alliance for Health Policy and Systems Research (AHPSR),1,1,0,647738.0,40.4,0,ET,,Q4 2026,,intelligence
donor_intel_78ff8090c1a4,UK Department of Health and Social Care (DHSC),1,1,0,645407.56,20.7,0,IN; KE; LA; MW,,Monitor,,intelligence
donor_intel_462e03d90897,GLOBALFUND,1,1,0,633592.0,20.7,0,KE,,Monitor,,intelligence
donor_intel_912b2ccf682a,World Federation of Neurology,1,1,0,623663.96,40.4,0,ET,,Q4 2026,,intelligence
donor_intel_ac1c90668ff9,Global Fund,1,1,0,613682.0,20.7,0,KE,,Monitor,,intelligence
donor_intel_db9a022b7562,GOAL,1,1,0,592118.0,30.7,0,SS,,Monitor,,intelligence
donor_intel_78f6775a7176,Disasters Emergency Committee,1,1,0,570000.0,20.6,0,SO; SS; YE,,Monitor,,intelligence
donor_intel_e1e2891fbe96,Pre-Qualification Fees (PQF),1,1,0,550086.42,40.2,0,RW,,Q4 2026,,intelligence
donor_intel_c31db80210ba,Stichting Vluchteling,1,1,0,481685.0,56.5,0,BI; CD,Facility Infrastructure,Monitor,,intelligence
donor_intel_4b0b5fdab098,Amref Health Africa NL,3,3,0,480087.0,20.2,0,ET; KE; UG,,Active through Q4 2027; Active through Q4 2029,,intelligence
donor_intel_e44ab3b321f9,Resolve To Save Lives,1,1,0,460706.22,40.0,0,ET,,Q4 2026,,intelligence
donor_intel_6661ac6a9e0b,Stichting Beheer Subsidiegelden DRA,1,1,0,455000.0,20.5,0,UG,,Monitor,,intelligence
donor_intel_95a7b09b32bc,Irish Aid,3,3,0,444202.0,14.8,0,ET,,Monitor,,intelligence
donor_intel_6411ea893d61,Amref Health Africa - UK,1,0,1,430000.0,26.5,0,ET,,Monitor,,intelligence
donor_intel_6c14c6b278d8,DFID GPAF,1,1,0,420004.09,20.4,0,ET,,Monitor,,intelligence
donor_intel_8c4ac0ef2805,HelpAge Deutschland e.V.,1,1,0,382343.0,39.0,0,TZ,,Q3 2026,,intelligence
donor_intel_2dd347322450,HelpAge International,1,1,0,382343.0,39.0,0,TZ,,Q3 2026,,intelligence
donor_intel_affc39548185,UNILEVER,1,1,0,341576.0,20.3,0,KE,,Monitor,,intelligence
donor_intel_7131dc063a2d,Federation Internationale de Football Association (FIFA),1,1,0,326261.0,39.7,0,TZ,,Q4 2026,,intelligence
donor_intel_64b5725b5078,UK Foreign Commonwealth and Development Office,1,1,0,303611.0,30.2,0,LR; RW; SL,,Monitor,,intelligence
donor_intel_3e1d9f3d1cf3,Hospice Africa Ltd,1,1,0,302462.0,20.2,0,UG,,Monitor,,intelligence
donor_intel_164bb844b0f1,OCHA,1,1,0,300000.0,20.2,0,SS,,Monitor,,intelligence
donor_intel_a8a87f23374d,"Ministry of Foreign Affairs, Netherlands",1,1,0,291706.44,39.5,0,ET,,Q4 2026,,intelligence
donor_intel_09f31309864e,Expertise France,1,1,0,290744.0,20.2,0,ET,,Monitor,,intelligence
donor_intel_3f013fc06bf4,HealthNet TPO,1,1,0,255275.0,30.1,0,SS,,Monitor,,intelligence
donor_intel_e12ab8c93d21,International Centre of Insect Physiology and Ecology (icipe),2,2,0,212413.0,24.5,0,KE,,Monitor,,intelligence
donor_intel_2b23c220f656,Biological Sciences Research Council BBSRC,3,3,0,200734.4,22.5,0,KE,,Monitor,,intelligence
donor_intel_a26a5329cf96,Amref Health Africa Uganda,1,1,0,199974.0,56.0,0,UG,Facility Infrastructure,Monitor,,intelligence
donor_intel_8e581bfe5b16,Comic Relief,1,1,0,187500.0,49.1,0,UG,,Q4 2026,,intelligence
donor_intel_fc3a9bf07186,Fred Hollows Foundation,1,1,0,184835.0,19.9,0,KE,,Monitor,,intelligence
donor_intel_00a1e72e72ca,Heifer Netherlands,1,1,0,175680.0,19.9,0,UG,,Monitor,,intelligence
donor_intel_227d1f0530bd,CIFF,1,1,0,167972.0,19.8,0,KE,,Monitor,,intelligence
donor_intel_cd02a818c46b,ADRA Danmark,1,1,0,162750.0,55.8,0,CD,Facility Infrastructure,Monitor,,intelligence
donor_intel_155aae01a63a,Infectious Diseases Research Collaboration (IDRC),1,1,0,153000.0,36.0,0,SS,,Q2 2027,,intelligence
donor_intel_c408937e1aae,GSK,1,1,0,150000.0,19.8,0,KE,,Monitor,,intelligence
donor_intel_c8dd4d9588a9,National Institutes Health,1,1,0,132413.0,19.7,0,KE,,Monitor,,intelligence
donor_intel_b7553af148f9,United Nations Environment Programme (UNEP),1,1,0,100000.0,38.4,0,UG,,Q4 2026,,intelligence
donor_intel_2241dc8eeab8,Waterloo Foudation,1,1,0,100000.0,19.5,0,ET,,Monitor,,intelligence
donor_intel_3fd8667dc9c0,Faculty of Nursing and Midwifery ? Royal College of Surgeons in Ireland (RCSI),1,1,0,97524.12,38.3,0,KE,,Q4 2026,,intelligence
donor_intel_3e5e257a8de8,National Institute of Health (NIH),1,1,0,92856.0,19.5,0,KE,,Monitor,,intelligence
donor_intel_0a50e27daeea,Catholic Agency For Overseas Development (CAFOD),2,2,0,85534.35,19.0,0,CD,,Active through Q3 2026; Active through Q4 2026,,intelligence
donor_intel_4f52f4274968,Audere,1,1,0,82773.0,19.4,0,KE,,Monitor,,intelligence
donor_intel_8e206ba991d9,KOICA,1,1,0,81990.5,19.4,0,TZ,,Monitor,,intelligence
donor_intel_8ba43b87d430,OXFAM HONGKONG,1,1,0,73038.0,55.3,0,UG,Facility Infrastructure,Monitor,,intelligence
donor_intel_c02013beb1c7,UK Department for International Development,1,1,0,55434.0,19.1,0,GB; RW,,Monitor,,intelligence
donor_intel_fce79b7fe1fe,GCC,1,1,0,25042.0,18.6,0,KE,,Monitor,,intelligence
donor_intel_57f8e44c3f5e,Malaria Consortium,43,43,0,25000.0,15.0,0,SS; UG; ET; TZ,Facility Infrastructure; IT / Health Information Systems,Monitor; Active through Q2 2027,,intelligence
donor_intel_98601d9b422e,"Taysha Consulting, Ltd",1,1,0,21000.0,18.5,0,SS,,Monitor,,intelligence
donor_intel_d5fe2995550d,In2Care BV,1,1,0,18151.0,18.4,0,KE,,Monitor,,intelligence
donor_intel_05c75a4034b6,Univeristy of Oxford,1,1,0,13864.0,26.2,0,MW; TZ; ZA,,Active through Q3 2028,,intelligence
donor_intel_13ed02427658,Mercury Phoenx Trust,1,1,0,11738.87,18.1,0,KE,,Monitor,,intelligence
donor_intel_a30b7a46e94b,CABI,1,1,0,10000.0,18.0,0,KE,,Monitor,,intelligence
donor_intel_244300042c57,OXFAM GB,1,1,0,9424.0,18.0,0,SO,,Monitor,,intelligence
donor_intel_fd1ef82aa521,Kilpatrick Fraser Charitable Trust,1,1,0,8590.0,53.9,0,KE,Diagnostic Equipment,Monitor,,intelligence
donor_intel_310113cc6e2f,Veta Bailey Charitable Trust,1,1,0,8590.0,53.9,0,KE,Diagnostic Equipment,Monitor,,intelligence
donor_intel_2aaa8e8876eb,"Aga Khan University, Tanzania",1,1,0,4326.17,17.5,0,TZ,,Monitor,,intelligence
donor_intel_0dc29a2c38f5,University of Oxford - Wolfson College,1,1,0,3000.0,17.2,0,KE,,Monitor,,intelligence
donor_intel_c9e8d0261dbb,Ministry of Foreign and European Affairs of the Slovak Republic,112,112,0,0.0,29.1,0,KE; RW; SS; UG,Facility Infrastructure; Diagnostic Equipment; Medical Devices & Equipment; Vehicles & Transport,Monitor,,intelligence
donor_intel_adf9cce1c940,Sweden,36,36,0,0.0,22.9,0,UG; TZ; ET; KE,Facility Infrastructure; Diagnostic Equipment; IT / Health Information Systems; Medical Devices & Equipment,Monitor; Active through Q2 2027,,intelligence
donor_intel_e0a7a2af8524,VLIR-UOS,25,25,0,0.0,28.2,0,CD; UG; ET; KE,Diagnostic Equipment; Facility Infrastructure; IT / Health Information Systems,Active through Q3 2027,,intelligence
donor_intel_c236ded63a5b,UN Pooled Funds,24,24,0,0.0,12.0,0,KE; TZ; UG; SS,,Active through Q4 2030; Monitor,,intelligence
donor_intel_8a4add221ac1,Innovations for Poverty Action,19,19,0,0.0,12.0,0,KE; UG,,Monitor,,intelligence
donor_intel_336ce1ee11dd,"Gavi, The Vaccine Alliance",8,8,0,0.0,12.0,0,CD; ET; KE; RW,,Active through Q4 2027; Active through Q4 2028,,intelligence
donor_intel_36e8c6ad2cdb,Ethiopiaid,6,5,1,0.0,31.0,0,ET,Facility Infrastructure,Monitor,,intelligence
donor_intel_1e16df83ea8b,Ethiopiaid UK,5,5,0,0.0,14.0,0,ET,,Monitor,,intelligence
donor_intel_f1631affdffb,Commission of the European Communities,4,4,0,0.0,23.0,0,RW; CD,IT / Health Information Systems,Active through Q4 2028; Active through Q2 2027,,intelligence
donor_intel_26719f6a7ad4,Danish Family Planning Association,3,3,0,0.0,12.0,0,KE; UG,,Monitor,,intelligence
donor_intel_b1e8e9d085f7,Ethiopiaid Ireland,3,3,0,0.0,36.0,0,ET,Facility Infrastructure,Monitor,,intelligence
donor_intel_335492b33cf1,JP-2,3,3,0,0.0,27.3,0,CD; KE; UG,Medical Devices & Equipment,Monitor,,intelligence
donor_intel_368f8bc492d2,Send a Cow,3,3,0,0.0,12.0,0,ET; KE,,Monitor,,intelligence
donor_intel_dbf7eea8c8be,University of Edinburgh,3,3,0,0.0,12.0,0,KE; ZA; GB; GH,,Active through Q2 2028; Active through Q3 2028,,intelligence
donor_intel_dfbb2bd76c39,Individual donors to Ethiopiaid,2,1,1,0.0,33.0,0,ET,Facility Infrastructure,Monitor,,intelligence
donor_intel_543a45eeeeab,MAEDI,2,2,0,0.0,12.0,0,ET; UG,,Monitor,,intelligence
donor_intel_4b0d680679a3,"Sida is Sweden's government agency for development cooperation. We strive to reduce poverty and oppression around the world. In cooperation with organisations, government agencies and the private sector we invest in sustainable development for all people.",2,2,0,0.0,12.0,0,ET; GB; PK; TZ,,Active through Q4 2028; Monitor,,intelligence
donor_intel_f1d07931609e,Austrian Development Agency,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_652b99fc3480,BILL AND MELINDA GATES FOUNDATION,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_26884e325fb6,CHPF,1,1,0,0.0,12.0,0,KE,,Monitor,,intelligence
donor_intel_e4c9f5078dc7,COMESA,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_29f95ec7d58b,"Conflict, Stability and Security Fund (CSSF)",1,1,0,0.0,12.0,0,AF; CO; DZ; EG,,Monitor,,intelligence
donor_intel_403320fe84eb,Cordaid,1,1,0,0.0,12.0,0,CD,,Active through Q4 2026,,intelligence
donor_intel_9db1a1654fd1,European Commission - International Partnerships,1,1,0,0.0,12.0,0,BD; GH; ID; KE,,Active through Q4 2026,,intelligence
donor_intel_ac10679bdfb1,GREEN CLIMATE FUND,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_1e68203a6199,HALYK BANK KAZAKHSTAN,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_096d8cc01b55,Hennecke Family Foundation,1,1,0,0.0,48.0,0,KE; NL,Facility Infrastructure,Monitor,,intelligence
donor_intel_fa123c83f68b,INTERNATIONAL TELECOMMUNICATIONS UNION,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_cb961a82f396,JP-8,1,1,0,0.0,12.0,0,KE,,Monitor,,intelligence
donor_intel_fc96133a0c65,KOREA INTERN. COOPERATION AGENCY,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_61c1a668b407,Lillian Lincoln foundation,1,1,0,0.0,48.0,0,KE; NL,Facility Infrastructure,Monitor,,intelligence
donor_intel_74d1db94b65d,MPTF-Joint SDG Fund,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_3b561da0f248,MPTF-Spotlight Initiative Fund,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_7a0bf09b2850,Ministry of Foreign Affairs and Trade of,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_d5b5fcaeb087,NOR - MINISTRY OF FOREIGN AFFAIRS,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_36f8d5acf539,North coast medical training college Kenya,1,1,0,0.0,12.0,0,KE,,Monitor,,intelligence
donor_intel_5a1b92e86027,Nuffic,1,1,0,0.0,12.0,0,KE,,Monitor,,intelligence
donor_intel_4ff7a69f9edd,Population Services International (PSI),1,1,0,0.0,12.0,0,SS,,Monitor,,intelligence
donor_intel_735ba58ed4c2,Skills Meducation BV,1,1,0,0.0,12.0,0,KE,,Monitor,,intelligence
donor_intel_0e038fd4f3d4,UK - Scottish Government,1,1,0,0.0,12.0,0,RW,,Monitor,,intelligence
donor_intel_db695f4669dd,UN HIGH COMMISSIONER FOR REFUGEES (UNHCR),1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_d5d4cd07616a,Undefined,1,1,0,0.0,12.0,0,UG,,Active through Q4 2030,,intelligence
donor_intel_f49268365522,United Nations Children's Fund,1,1,0,0.0,12.0,0,TZ,,Monitor,,intelligence
donor_intel_3d6ca8c143f7,United Nations Children's Fund (UNICEF),1,1,0,0.0,12.0,0,SS,,Monitor,,intelligence
