target_account_id,account_name,organisation_entity_id,country,account_type,crm_stage,buyer_demand_score,buyer_demand_tier,opportunity_score,active_opportunities,high_priority_opportunities,upcoming_pipeline,estimated_opportunity_value,catalogue_fit_score,catalogue_fit_status,catalogue_matched_events,catalogue_matched_products,historical_familiarity_score,historical_familiarity_band,historical_evidence_count,timing_score,next_closing_date,commercial_account_priority_score,commercial_account_priority_tier,priority_reason,recommended_action,procurement_event_ids,familiarity_evidence_ids
acct_59ebad5c6d5b,International Development Law Organization (IDLO),org_f8e06493684a,BD; GH; ID; Kenya; MR; NP; LK; Tanzania; TH; Uganda,Implementing Partner,Monitor,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_1e23b185f995,International Development Research Centre,org_6535ef19d19a,Tanzania; MW; Ethiopia; Uganda; Kenya; SL; NG; GH; CM; Democratic Republic of the Congo; SN; BI; Rwanda; LR; PK; CF; CI; GA; MR; GW; ZA; BW; MZ; GN; BR; CO; NP; ZW,Donor,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_1e23b185f995,International Development Research Centre,org_6535ef19d19a,Uganda; ZW; ZA; NG; BW; Rwanda; GH; Kenya; SL,Implementing Partner,Research,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_ad62f43bce09,INTERNATIONAL DISABILITY ALLIANCE,org_313240fa63fe,MW; ID; CH; GH; CO; GB; SL; BE; FR; IN; Kenya; MN; US,Implementing Partner,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_32b08d4a684f,INTERNATIONAL EMERGENCY AND DEVELOPMENT AID RELIEF,org_1463841757cb,Democratic Republic of the Congo,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_4d036b2dc9ff,International Federation of Red Cross and Red Crescent Societies,org_c29e2b3d3222,BI; CM; Democratic Republic of the Congo; MW; MZ; NG; ZW; ZM; NP; BD; PK,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_3c1226020d64,International Finance Corporation,org_3f232c6ebd7c,AO; GN; Kenya; Uganda; ZM; IN; BD; KH; Ethiopia,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_6588075f58dc,International Food Policy Research Institute,org_6abd0f3351de,Ethiopia; Kenya; NG; SN; IN; MG; ID,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_2b4549e560c3,International Health Policy Program Foundation,org_bd94f40c55b1,Kenya; KH; NG; Somalia; ZA; VN; ZW; IN; Rwanda; GH; SY; TL; IQ; EG; YE; TH; MW; MY; PH; PK; JO; BD; Ethiopia; MM; South Sudan; Democratic Republic of the Congo; ID; NP; TN; Tanzania,Implementing Partner,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_ff82cd22f6ff,International Institute for Environment and Development,org_7596c81a8a05,BD; GH; KH; ZA; Ethiopia; MW; SN; Uganda; IN; ZW; PE; TH; SY; MM; AR; VN; ZM; BR; LA; PK; Rwanda; Democratic Republic of the Congo; Kenya,Implementing Partner,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_ff82cd22f6ff,International Institute for Environment and Development,org_7596c81a8a05,Kenya; KH; NG; Somalia; ZA; VN; ZW; IN; Rwanda; GH; SY; TL; IQ; EG; YE; TH; MW; MY; PH; PK; JO; BD; Ethiopia; MM; South Sudan; Democratic Republic of the Congo; ID; NP; TN; Tanzania,Implementing Partner,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_370981ac85fe,International Livestock Research Institute,org_1d17cb4b26f7,Kenya,Implementing Partner,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_67e6e7823523,INTERNATIONAL MEDICAL CORPS UK,org_f27563172112,South Sudan,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_67e6e7823523,INTERNATIONAL MEDICAL CORPS UK,org_f27563172112,Somalia,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_67e6e7823523,International Medical Corps UK,org_f27563172112,Somalia,Implementing Partner,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_81123ece3265,International Nepal Fellowship Nepal,org_f2d63a30c1ca,BE; EG; IE; NP; Rwanda; CH; GB; US,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_ffdd883d55d3,INTERNATIONAL NGO,org_5a0d5ef78d32,Kenya; CM; Democratic Republic of the Congo; GH; NG; SN; Tanzania; Ethiopia; Somalia; South Sudan,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_b9911df6414e,International Organisation for Migration (IOM),org_cff537c0a327,Somalia,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_f1d486528a9e,International Organization for Migration,org_3ac48966b591,Democratic Republic of the Congo; South Sudan; Uganda,Donor,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_f1d486528a9e,International Organization for Migration,org_3ac48966b591,Democratic Republic of the Congo,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_f1d486528a9e,INTERNATIONAL ORGANIZATION FOR MIGRATION,org_3ac48966b591,Democratic Republic of the Congo,Implementing Partner,Research,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_259d39c406b8,International Paralympic Committee,org_ef873dd76588,MW; ID; CH; GH; CO; GB; SL; BE; FR; IN; Kenya; MN; US,Implementing Partner,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_8e1bfe9202c3,International Planned Parenthood Federation,org_3b3d55a1351c,BI; Ethiopia; MG; Somalia; South Sudan; SD; ZM; MW; MZ; PK; Rwanda; Tanzania; Uganda; AF; BG; ZW; Democratic Republic of the Congo,Donor,Research,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_e78c35f47b25,INTERNATIONAL RESCUE COMMITTEE,org_8748a1c549bc,South Sudan,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_e78c35f47b25,INTERNATIONAL RESCUE COMMITTEE,org_8748a1c549bc,Kenya,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_e78c35f47b25,INTERNATIONAL RESCUE COMMITTEE,org_8748a1c549bc,Democratic Republic of the Congo,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_8329d7991431,International Rescue Committee Inc.,org_05d4b49f0d92,Ethiopia; South Sudan; BI; Democratic Republic of the Congo; Somalia; Uganda; Tanzania; MW; MZ; PK; Rwanda; SD; ZM; AF; BG; MG; ZW,Implementing Partner,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_5d6501e22d37,International Rescue Committee UK,org_cdc7d5643f34,South Sudan; NP; Kenya; PK; SL; MW; GH; ZW; Ethiopia; Somalia; Uganda; BI; MG; SD; ZM; Tanzania; Democratic Republic of the Congo,Donor,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_4506dd964a11,International Society for Prosthetics and Orthotics,org_ca36d8daf91f,Kenya; BD; JO; Uganda; GB; AF; BE; FJ; ID; LK; IN; ZA; CH,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_7b343a652c17,INTERNATIONAL TELECOMMUNICATIONS UNION,org_e2b547c28a30,Uganda,Donor,Research,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_7c85ea96ff3a,International Vaccine Institute,org_39d2bd506239,Democratic Republic of the Congo,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
