organisation_intelligence_id,organisation_entity_id,organisation_name,account_type,roles,activity_count,active_activity_count,pipeline_activity_count,country_codes,country_names,reported_budget,average_opportunity_score,high_priority_opportunities,top_equipment_categories,commercial_relevance,latest_update,source_layer
org_intel_7463f1fc3f54,org_1d31aa894b28,Gates Foundation,Donor,funding; reporting; implementing,450,437,13,ZA; AO; CM; CD; ET; GH; CI; KE; MG; NG; ZW; SN; UG; ZM; CG; MZ; TZ; RW; GM; MW; ML; PE; PK; BD; IN; ID; VN; SO; BJ; SL; BF; DO; GT; HT; HN; NI; PA; MM; KH; LA; PG; CF; TD; NE; SS; YE; PH; BI; NP; GN; DJ; SD; MR; LR; AF; UA; TJ; NA; CN; TG; LS; MX; IR; IQ; SY; MU; SZ; EG; MN; LB; TN; BW,ZA; AO; CM; Democratic Republic of the Congo; Ethiopia; GH; CI; Kenya; MG; NG; ZW; SN; Uganda; ZM; CG; MZ; Tanzania; Rwanda; GM; MW; ML; PE; PK; BD; IN; ID; VN; Somalia; BJ; SL; BF; DO; GT; HT; HN; NI; PA; MM; KH; LA; PG; CF; TD; NE; South Sudan; YE; PH; BI; NP; GN; DJ; SD; MR; LR; AF; UA; TJ; NA; CN; TG; LS; MX; IR; IQ; SY; MU; SZ; EG; MN; LB; TN; BW,2221249301.52,67.2,294,Medical devices; Facility / hospital infrastructure; Diagnostic equipment; Diagnostic Equipment,Tier 1,,intelligence
org_intel_1ede24e838ce,org_906aee231f3a,World Health Organization,Donor,implementing; reporting; accountable; funding,279,271,8,TZ; SO; CD; SS; KE; ET; UG; RW; BE; EG; IE; NP; CH; GB; US; BD; GH; ID; MR; LK; TH,Tanzania; Somalia; Democratic Republic of the Congo; South Sudan; Kenya; Ethiopia; Uganda; Rwanda; BE; EG; IE; NP; CH; GB; US; BD; GH; ID; MR; LK; TH,1142438022.1,56.6,151,Medical devices; Facility / hospital infrastructure; Laboratory equipment; Diagnostic Equipment,Tier 1,,intelligence
org_intel_4a46a77c872f,org_10d2303f236a,UNICEF,Donor,funding; implementing; accountable; reporting,385,117,268,SO; TZ; CD; SS; RW; UG; ET; KE; BD; CI; CO; GH; HT; JM; JO; MZ; NG; SN; BE; EG; IE; NP; CH; GB; US; AO; BF; BJ; CF; CM; GN; MG; MW; SL; TD; TG,Somalia; Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Uganda; Ethiopia; Kenya; BD; CI; CO; GH; HT; JM; JO; MZ; NG; SN; BE; EG; IE; NP; CH; GB; US; AO; BF; BJ; CF; CM; GN; MG; MW; SL; TD; TG,8380395652.99,58.2,99,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic equipment,Tier 1,,intelligence
org_intel_3581465b52eb,org_150f3106e43a,UNICEF Regular Resources,Donor,funding,250,63,187,SO; TZ; CD; SS; RW; UG; ET; KE,Somalia; Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Uganda; Ethiopia; Kenya,7422539527.0,62.3,85,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Cold Chain / Storage,Tier 1,,intelligence
org_intel_a8c35b628a1d,org_d96f8fde4782,The United Kingdom,Donor,reporting; funding; accountable,299,182,117,TZ; CD; SS; RW; SO; ET; KE; UG; GH; NG; CM; SN; BI; KH; IN; ID; MW; MM; ZA; VN; ZM; TD; CI; ML; NE; GB; ZW; MZ; NP; SL; PK; BD; LS; PH; SZ; TH; LA; BW; LR; SY; TL; IQ; EG; YE; MY; JO; TN; SD; MG; AO; AF; CO; DZ; LB; LK; LY; MA; TR; BG,Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Somalia; Ethiopia; Kenya; Uganda; GH; NG; CM; SN; BI; KH; IN; ID; MW; MM; ZA; VN; ZM; TD; CI; ML; NE; GB; ZW; MZ; NP; SL; PK; BD; LS; PH; SZ; TH; LA; BW; LR; SY; TL; IQ; EG; YE; MY; JO; TN; SD; MG; AO; AF; CO; DZ; LB; LK; LY; MA; TR; BG,8459897921.28,55.1,77,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic equipment,Tier 1,,intelligence
org_intel_0035179113d1,org_afbd2f538c3d,Republic of Korea,Donor,reporting; funding,123,74,49,CD; TZ; KE; ET; SS; RW; UG; SO,Democratic Republic of the Congo; Tanzania; Kenya; Ethiopia; South Sudan; Rwanda; Uganda; Somalia,32237984673.0,67.6,76,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Medical Devices & Equipment,Tier 1,,intelligence
org_intel_87bf30869a18,org_9f9a39a5a240,Federal Ministry for Economic Cooperation and Development (BMZ),Donor,reporting; funding,180,142,38,CD; SS; SO; ET; RW; TZ; KE; UG,Democratic Republic of the Congo; South Sudan; Somalia; Ethiopia; Rwanda; Tanzania; Kenya; Uganda,3411794263.77,55.8,60,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Medical Devices & Equipment,Tier 1,,intelligence
org_intel_cd26a9aa235d,org_71a798919964,United States Fund for UNICEF,Donor,funding,120,48,72,TZ; CD; UG; SO; ET; SS; KE; RW,Tanzania; Democratic Republic of the Congo; Uganda; Somalia; Ethiopia; South Sudan; Kenya; Rwanda,4561607095.0,67.7,56,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_f8b775e2ee2b,org_d519f4b3c443,Bureau for Humanitarian Assistance,Donor,funding,153,40,113,TZ; CD; SS; RW; SO; ET; KE; UG,Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Somalia; Ethiopia; Kenya; Uganda,5687144656.44,62.5,51,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic Equipment,Tier 1,,intelligence
org_intel_5a4c030c129e,org_feb359fc4dce,Global - Thematic Humanitarian Resp,Donor,funding,130,32,98,TZ; CD; SS; RW; UG; SO; ET; KE,Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Uganda; Somalia; Ethiopia; Kenya,5198449820.0,62.6,45,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic equipment,Tier 1,,intelligence
org_intel_b33ff7ca66da,org_8b4dad7cea2d,Canada,Donor,funding,134,23,111,TZ; CD; SS; RW; UG; SO; ET; KE,Tanzania; Democratic Republic of the Congo; South Sudan; Rwanda; Uganda; Somalia; Ethiopia; Kenya,4478867672.0,61.3,40,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic Equipment,Tier 1,,intelligence
org_intel_e02f14ebf085,org_2c4d41679def,European Commission / ECHO,Donor,funding,99,29,70,CD; SS; ET; SO; KE; UG,Democratic Republic of the Congo; South Sudan; Ethiopia; Somalia; Kenya; Uganda,3970362649.62,63.7,39,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic Equipment,Tier 1,,intelligence
org_intel_40de97c64252,org_0ca5f946b33a,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Donor,reporting; funding,58,45,13,SO; SS; ET; KE; TZ; UG; RW; CD,Somalia; South Sudan; Ethiopia; Kenya; Tanzania; Uganda; Rwanda; Democratic Republic of the Congo,3818851645.39,68.3,39,Medical devices; Facility / hospital infrastructure; Diagnostic equipment; Facility Infrastructure,Tier 1,,intelligence
org_intel_2be88f1e011f,org_cd9ccfa8ab70,USA CDC,Donor,funding,67,33,34,TZ; CD; SS; UG; SO; ET; KE,Tanzania; Democratic Republic of the Congo; South Sudan; Uganda; Somalia; Ethiopia; Kenya,3193646992.0,73.6,37,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_ea3dac228079,org_7eecdb46db9c,"Université, institut d'education et autre institution d'enseignement, institut de recherche ou groupe de réflexion",Implementing Partner,implementing; accountable,120,120,0,UG; KE; ZA; NG; RW; TZ; ET; DJ; SD; CD; MZ; GM; ZM; BJ; GH; BI; CM; CI; ML; SN; SS; MW; BF; NE; SL; TG; ZW; CF; TN; BW,Uganda; Kenya; ZA; NG; Rwanda; Tanzania; Ethiopia; DJ; SD; Democratic Republic of the Congo; MZ; GM; ZM; BJ; GH; BI; CM; CI; ML; SN; South Sudan; MW; BF; NE; SL; TG; ZW; CF; TN; BW,331687620.59,51.9,36,Medical devices; Facility / hospital infrastructure; Diagnostic equipment; Diagnostic Equipment,Tier 1,,intelligence
org_intel_1e7a3dbfb322,org_6b40f25e9a1b,Japan,Donor,reporting; funding,125,25,100,CD; SS; RW; TZ; KE; UG; SO; ET,Democratic Republic of the Congo; South Sudan; Rwanda; Tanzania; Kenya; Uganda; Somalia; Ethiopia,4265285350.0,59.9,35,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Cold Chain / Storage,Tier 1,,intelligence
org_intel_9ef78d42561f,org_afc19e70be13,Consolidated Funds from NatComs,Donor,funding,82,29,53,TZ; CD; RW; UG; SS; ET; SO; KE,Tanzania; Democratic Republic of the Congo; Rwanda; Uganda; South Sudan; Ethiopia; Somalia; Kenya,3846048446.0,67.9,35,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_98dd49b15b0c,org_67e57e50dec1,German Committee for UNICEF,Donor,funding,76,29,47,SS; CD; ET; SO; KE; TZ,South Sudan; Democratic Republic of the Congo; Ethiopia; Somalia; Kenya; Tanzania,3781034564.0,68.4,35,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_ed81e9967813,org_aa2df26069b6,GAVI The Vaccine Alliance,Donor,funding; reporting,89,37,52,TZ; CD; RW; UG; SO; ET; SS; KE,Tanzania; Democratic Republic of the Congo; Rwanda; Uganda; Somalia; Ethiopia; South Sudan; Kenya,2923188557.0,63.7,35,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Cold Chain / Storage,Tier 1,,intelligence
org_intel_1a03bf5ff5b0,org_89136f8179ea,UNOCHA,Donor,funding; implementing,117,25,92,CD; SS; ET; KE; UG; SO; RW,Democratic Republic of the Congo; South Sudan; Ethiopia; Kenya; Uganda; Somalia; Rwanda,3868063275.43,60.0,34,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic Equipment,Tier 1,,intelligence
org_intel_7ed31517d661,org_d5bd9b6eaffa,Norway,Donor,funding; reporting,67,48,19,CD; SS; ET; KE; TZ; UG; RW; SO,Democratic Republic of the Congo; South Sudan; Ethiopia; Kenya; Tanzania; Uganda; Rwanda; Somalia,2013382135.68,60.3,30,Facility / hospital infrastructure; Medical devices; Facility Infrastructure; Diagnostic equipment,Tier 1,,intelligence
org_intel_82acef5fd0b8,org_31a7d12e13fd,Ministry of Foreign Affairs,Donor,funding,37,37,0,CD; TZ; KE; UG; ET; RW,Democratic Republic of the Congo; Tanzania; Kenya; Uganda; Ethiopia; Rwanda,19284387920.0,73.0,29,Medical devices; Facility / hospital infrastructure; Diagnostic Equipment; Diagnostic equipment,Tier 1,,intelligence
org_intel_1720596f0121,org_288e87e81bf8,Global - Nutrition,Donor,funding,44,25,19,SS; RW; TZ; CD; ET; KE; UG,South Sudan; Rwanda; Tanzania; Democratic Republic of the Congo; Ethiopia; Kenya; Uganda,1307156620.0,74.5,29,Medical devices; Facility / hospital infrastructure; Diagnostic Equipment; Diagnostic equipment,Tier 1,,intelligence
org_intel_15237987bd1a,org_7fa416fa36ca,Canadian UNICEF Committee,Donor,funding,40,25,15,CD; RW; UG; SS; ET; KE; TZ,Democratic Republic of the Congo; Rwanda; Uganda; South Sudan; Ethiopia; Kenya; Tanzania,1983265089.0,76.0,28,Medical devices; Facility / hospital infrastructure,Tier 1,,intelligence
org_intel_d4235a883b0c,org_151e2e7760da,UN Joint Programme,Donor,implementing; reporting; funding; accountable,115,57,58,TZ; UG; CD; ET; KE; SS; SO; RW; ZW; ZA; NG; BW; GH; SL,Tanzania; Uganda; Democratic Republic of the Congo; Ethiopia; Kenya; South Sudan; Somalia; Rwanda; ZW; ZA; NG; BW; GH; SL,2428203573.29,52.1,26,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic Equipment,Tier 1,,intelligence
org_intel_88e4604041b6,org_3ca95d453fed,Netherlands,Donor,funding; reporting; accountable,84,37,47,SS; TZ; BD; CI; CO; EG; ET; GH; ID; IN; KE; MA; NA; NG; SN; UA; UG; VN; ZA; AF; AL; AM; AO; BA; BF; BI; BJ; BO; BT; CD; CN; CR; CU; CV; DJ; DZ; EC; ER; GE; GM; GN; GT; HT; IQ; IR; JO; KH; LA; LB; LK; LR; LY; MD; MG; MK; ML; MM; MN; MW; MZ; NE; NI; NP; PA; PE; PH; PK; PS; RW; SD; SL; SO; SR; ST; TD; TG; TH; TN; XK; YE; ZM; ZW; MY; BR; BS; BZ; CL; CM; DO; GQ; GY; HN; JM; KG; KM; KP; MR; PY; SV; SY; SZ; TO; TR; VE; BW; CF; DM; GR; PG; NL; AR; BY; GA; MX; HU; PL; AE; BH; KW; OM; QA; SA; AZ; BG; CG; LT; RO; VU,South Sudan; Tanzania; BD; CI; CO; EG; Ethiopia; GH; ID; IN; Kenya; MA; NA; NG; SN; UA; Uganda; VN; ZA; AF; AL; AM; AO; BA; BF; BI; BJ; BO; BT; Democratic Republic of the Congo; CN; CR; CU; CV; DJ; DZ; EC; ER; GE; GM; GN; GT; HT; IQ; IR; JO; KH; LA; LB; LK; LR; LY; MD; MG; MK; ML; MM; MN; MW; MZ; NE; NI; NP; PA; PE; PH; PK; PS; Rwanda; SD; SL; Somalia; SR; ST; TD; TG; TH; TN; XK; YE; ZM; ZW; MY; BR; BS; BZ; CL; CM; DO; GQ; GY; HN; JM; KG; KM; KP; MR; PY; SV; SY; SZ; TO; TR; VE; BW; CF; DM; GR; PG; NL; AR; BY; GA; MX; HU; PL; AE; BH; KW; OM; QA; SA; AZ; BG; CG; LT; RO; VU,2613986034.03,54.1,23,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic Equipment,Tier 1,,intelligence
org_intel_9295ffafff5f,org_1ffd06c941b2,German Federal Foreign Office,Donor,reporting; funding,32,25,7,CD; SS; SO; ET; KE; TZ; UG; RW; CM; NE; NG,Democratic Republic of the Congo; South Sudan; Somalia; Ethiopia; Kenya; Tanzania; Uganda; Rwanda; CM; NE; NG,2489704268.07,76.9,23,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Medical Devices & Equipment,Tier 1,,intelligence
org_intel_fb5cde867ae3,org_31fbf2ee12b2,United Kingdom Committee for UNICEF,Donor,funding,48,21,27,TZ; ET; SS; KE; UG; SO; CD,Tanzania; Ethiopia; South Sudan; Kenya; Uganda; Somalia; Democratic Republic of the Congo,2023652092.0,65.4,23,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_14d2ace9cc5e,org_f77fbea7407e,MPTFO - UN Multi Partner,Donor,reporting; funding,102,43,59,CD; SS; TZ; RW; UG; KE; SO; ET,Democratic Republic of the Congo; South Sudan; Tanzania; Rwanda; Uganda; Kenya; Somalia; Ethiopia,1900023344.0,52.0,23,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_60177a058c6c,org_111fc4ad0d0c,Canada,Donor,funding,37,37,0,SS; BD; KE; KH; SO; TZ; CD; TD; BO; GH; HN; JO; LB; PS; ET; RW; SN; PH; UG; LA; VN; IN; PK; ZW; CI; CO; HT; JM; MZ; NG; AO; BF; BJ; CF; CM; GN; MG; MW; SL; TG; NE; ID,South Sudan; BD; Kenya; KH; Somalia; Tanzania; Democratic Republic of the Congo; TD; BO; GH; HN; JO; LB; PS; Ethiopia; Rwanda; SN; PH; Uganda; LA; VN; IN; PK; ZW; CI; CO; HT; JM; MZ; NG; AO; BF; BJ; CF; CM; GN; MG; MW; SL; TG; NE; ID,840185002.0,74.6,23,Facility / hospital infrastructure; Medical devices; Facility Infrastructure; Cold Chain / Storage,Tier 1,,intelligence
org_intel_700fe88540d6,org_507fdbf5ec8f,"Foreign Affairs, Trade and Development Canada (DFATD)",Reporting Organisation,reporting,37,37,0,SS; BD; KE; KH; SO; TZ; CD; TD; BO; GH; HN; JO; LB; PS; ET; RW; SN; PH; UG; LA; VN; IN; PK; ZW; CI; CO; HT; JM; MZ; NG; AO; BF; BJ; CF; CM; GN; MG; MW; SL; TG; NE; ID,South Sudan; BD; Kenya; KH; Somalia; Tanzania; Democratic Republic of the Congo; TD; BO; GH; HN; JO; LB; PS; Ethiopia; Rwanda; SN; PH; Uganda; LA; VN; IN; PK; ZW; CI; CO; HT; JM; MZ; NG; AO; BF; BJ; CF; CM; GN; MG; MW; SL; TG; NE; ID,840185002.0,74.6,23,Facility / hospital infrastructure; Medical devices; Facility Infrastructure; Cold Chain / Storage,Tier 1,,intelligence
org_intel_1620524b8a1f,org_f8745630db84,ONG basée dans un pays en développement,Implementing Partner,implementing; accountable,203,203,0,RW; ET; KE; ZW; BD; NG; TZ; UG; CD; ZA; GH; SN; NA; ZM; CM; MZ; SS; SO,Rwanda; Ethiopia; Kenya; ZW; BD; NG; Tanzania; Uganda; Democratic Republic of the Congo; ZA; GH; SN; NA; ZM; CM; MZ; South Sudan; Somalia,97809767.32,36.9,22,Facility / hospital infrastructure; Medical devices; Facility Infrastructure; Health IT / information systems,Tier 1,,intelligence
org_intel_328731bd80f3,org_9e74d9f48320,Central Emergency Response Fund,Donor,funding,21,19,2,CD; SS; ET; SO; UG,Democratic Republic of the Congo; South Sudan; Ethiopia; Somalia; Uganda,959184743.5,87.9,21,Medical devices; Diagnostic Equipment; Diagnostic equipment; Laboratory equipment,Tier 1,,intelligence
org_intel_b590d3bdec45,org_ad2a79e69f64,European Commission/EC,Donor,funding,55,14,41,CD; UG; TZ; ET; SS; KE; SO,Democratic Republic of the Congo; Uganda; Tanzania; Ethiopia; South Sudan; Kenya; Somalia,2034585586.0,61.2,19,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_995aa0b135ee,org_1c46b1866a93,Ireland,Donor,funding,31,18,13,TZ; CD; UG; ET; KE; SS; SO,Tanzania; Democratic Republic of the Congo; Uganda; Ethiopia; Kenya; South Sudan; Somalia,1280295707.16,71.8,19,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_2c8a35fb23d0,org_dd01d271b88a,UNFPA - UN Population Fund,Donor,funding; implementing; accountable,54,32,22,UG; CD; ET; KE; RW; TZ; SS; SO,Uganda; Democratic Republic of the Congo; Ethiopia; Kenya; Rwanda; Tanzania; South Sudan; Somalia,1006511238.25,54.1,19,Facility / hospital infrastructure; Medical devices; Facility Infrastructure; Diagnostic equipment,Tier 1,,intelligence
org_intel_9498bf2c65c7,org_43c9dae7d836,Sweden,Donor,funding; reporting; implementing,110,56,54,CD; ET; SO; UG; KE; SS; RW; TZ; BW; LS; MW; ZA; ZM; ZW; PK; UA; GB; NG; SZ; MM; LB; MZ; MD; BD; LR; PS; GH; ID; KH; MA; PE; SN; TJ; BF; CG; CI; CM; GA; MG; ML; NA; NE; CO; EG; GT; HN; HT; IN; IQ; JO; PH; CF; TH; VN; BA; LA; LK; RS; BI; GN; GW; TD; AF,Democratic Republic of the Congo; Ethiopia; Somalia; Uganda; Kenya; South Sudan; Rwanda; Tanzania; BW; LS; MW; ZA; ZM; ZW; PK; UA; GB; NG; SZ; MM; LB; MZ; MD; BD; LR; PS; GH; ID; KH; MA; PE; SN; TJ; BF; CG; CI; CM; GA; MG; ML; NA; NE; CO; EG; GT; HN; HT; IN; IQ; JO; PH; CF; TH; VN; BA; LA; LK; RS; BI; GN; GW; TD; AF,3248345469.7,50.4,18,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic equipment,Tier 1,,intelligence
org_intel_138bc3afa993,org_927ede3ef886,Nutrition International,Donor,funding; implementing,38,13,25,CD; ET; SO; SS; RW; TZ; KE; UG,Democratic Republic of the Congo; Ethiopia; Somalia; South Sudan; Rwanda; Tanzania; Kenya; Uganda,1408580297.0,69.1,18,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic Equipment,Tier 1,,intelligence
org_intel_7427710ee3ea,org_da2ea093755f,Ministry for Foreign Affairs of Finland,Donor,funding; reporting,290,286,4,TZ; KE; SO; ET; UG; SS; CD; RW,Tanzania; Kenya; Somalia; Ethiopia; Uganda; South Sudan; Democratic Republic of the Congo; Rwanda,850855049.13,45.0,18,Facility / hospital infrastructure; Medical devices; Facility Infrastructure; Laboratory equipment,Tier 1,,intelligence
org_intel_352ba470f57f,org_75e4500861ba,KOICA,Implementing Partner,implementing,22,22,0,CD; KE; UG; RW; TZ; ET,Democratic Republic of the Congo; Kenya; Uganda; Rwanda; Tanzania; Ethiopia,15157578728.0,71.1,17,Facility / hospital infrastructure; Medical devices; Diagnostic Equipment; Diagnostic equipment,Tier 1,,intelligence
org_intel_30703bca2ac5,org_b346140f70ce,"Directorate-General for International Partnerships (INTPA), European Commission",Donor,funding,21,21,0,TZ; CD; UG; RW; SO; ET; SS,Tanzania; Democratic Republic of the Congo; Uganda; Rwanda; Somalia; Ethiopia; South Sudan,20929858.41,63.2,17,Facility / hospital infrastructure; Medical devices,Tier 1,,intelligence
org_intel_7323897c3e39,org_8115a4cf873d,Malaria Consortium,Donor,implementing; reporting; funding,87,87,0,SS; UG; ET; GM; GH; BF; KE; SD; ZM; NG; GW; TD; MZ; TG; GB; MW; TZ,South Sudan; Uganda; Ethiopia; GM; GH; BF; Kenya; SD; ZM; NG; GW; TD; MZ; TG; GB; MW; Tanzania,13639184153.0,48.7,16,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Health IT / information systems,Tier 1,,intelligence
org_intel_efaff16c902b,org_a5a985e1805e,Committee for UNICEF Switzerland,Donor,funding,37,12,25,SS; RW; ET; UG; CD,South Sudan; Rwanda; Ethiopia; Uganda; Democratic Republic of the Congo,1481421616.0,65.7,16,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_acda963a2c05,org_7a3d99dd3ace,IP not published,Implementing Partner,implementing,44,9,35,SS,South Sudan,2457505300.0,60.3,15,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Cold Chain / Storage,Tier 1,,intelligence
org_intel_1aee448186a4,org_88ebb8668fd5,European Investment Bank,Donor,implementing; funding,17,14,3,TZ; CD; ET; SS; KE; UG; SO; RW,Tanzania; Democratic Republic of the Congo; Ethiopia; South Sudan; Kenya; Uganda; Somalia; Rwanda,969656432.65,85.5,15,Facility / hospital infrastructure; Medical devices; Diagnostic Equipment; Diagnostic equipment,Tier 1,,intelligence
org_intel_64bc4e05c75b,org_ef2a15536328,UNICEF-United Arab Emirates,Donor,funding,15,14,1,TZ; CD; SO; SS; KE; ET,Tanzania; Democratic Republic of the Congo; Somalia; South Sudan; Kenya; Ethiopia,917440550.0,89.0,15,Medical devices; Facility / hospital infrastructure,Tier 1,,intelligence
org_intel_97a28832b26e,org_2de0bd70bdce,United Nations Office for Project Services,Donor,reporting; implementing; accountable; funding,34,29,5,KE; RW; CD; TZ; ET; SS; MW; ID; TJ; JO; SL; NG; ZW; LR; BR; NP; EG; CH; US,Kenya; Rwanda; Democratic Republic of the Congo; Tanzania; Ethiopia; South Sudan; MW; ID; TJ; JO; SL; NG; ZW; LR; BR; NP; EG; CH; US,680139276.78,59.5,15,Facility / hospital infrastructure; Medical devices; Diagnostic equipment; Diagnostic Equipment,Tier 1,,intelligence
org_intel_d3b3e4768592,org_6082c7dd75dd,Other non-financial corporations,Implementing Partner,implementing,27,27,0,ET; KE; ZA; NG; UG; IN; ID; VN; RW; SN; TZ; SO; CM; TD; CI; LR; MW; MR; MZ; SL; BF; ZM; HT; AF; CD; GH,Ethiopia; Kenya; ZA; NG; Uganda; IN; ID; VN; Rwanda; SN; Tanzania; Somalia; CM; TD; CI; LR; MW; MR; MZ; SL; BF; ZM; HT; AF; Democratic Republic of the Congo; GH,45061313.0,61.8,15,Facility / hospital infrastructure; IT / Health Information Systems; Medical devices; Facility Infrastructure,Tier 1,,intelligence
org_intel_ed81e9967813,org_aa2df26069b6,"Gavi, the Vaccine Alliance",Donor,funding,16,16,0,KE; TZ; CD; SO; ET; RW; SS; UG,Kenya; Tanzania; Democratic Republic of the Congo; Somalia; Ethiopia; Rwanda; South Sudan; Uganda,29668752.28,68.3,15,Medical devices; Facility / hospital infrastructure; Diagnostic Equipment; Diagnostic equipment,Tier 1,,intelligence
org_intel_43c71d3d67bf,org_b977413c14a8,"Foreign, Commonwealth &amp; Development Office (FCDO), United Kingdom",Donor,funding,16,16,0,CD; TZ; SS; UG; KE; ET,Democratic Republic of the Congo; Tanzania; South Sudan; Uganda; Kenya; Ethiopia,39109582.0,68.7,14,Diagnostic Equipment; Diagnostic equipment; Laboratory equipment; Medical devices,Tier 1,,intelligence
org_intel_1e23b185f995,org_6535ef19d19a,International Development Research Centre,Donor,reporting; funding; implementing,28,28,0,TZ; MW; ET; UG; KE; SL; NG; GH; CM; CD; SN; BI; RW; LR; PK; CF; CI; GA; MR; GW; ZA; BW; MZ; GN; BR; CO; NP; ZW,Tanzania; MW; Ethiopia; Uganda; Kenya; SL; NG; GH; CM; Democratic Republic of the Congo; SN; BI; Rwanda; LR; PK; CF; CI; GA; MR; GW; ZA; BW; MZ; GN; BR; CO; NP; ZW,28970993.0,60.6,14,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Diagnostic Equipment,Tier 1,,intelligence
org_intel_5468dda1f9d8,org_afb08b12140b,WHO Foundation,Donor,funding,15,15,0,SO; TZ; ET; UG; SS; RW; KE,Somalia; Tanzania; Ethiopia; Uganda; South Sudan; Rwanda; Kenya,26383156.96,67.8,14,Medical devices; Facility / hospital infrastructure; Diagnostic Equipment; Diagnostic equipment,Tier 1,,intelligence
org_intel_33a1ee44bc05,org_ab3aa9c2fd63,WORLD VISION INTERNATIONAL,Donor,funding; implementing,42,10,32,SS; SO; UG; ET,South Sudan; Somalia; Uganda; Ethiopia,2239851676.21,59.2,13,Medical devices; Facility / hospital infrastructure; Facility Infrastructure; Cold Chain / Storage,Tier 1,,intelligence
org_intel_f635d66f407a,org_b9d9edd1e376,SWER BUEARU OF AGRICULTURE,Implementing Partner,implementing,56,6,50,ET,Ethiopia,993880042.0,56.2,13,Medical devices; Facility / hospital infrastructure; Cold Chain / Storage; Cold chain,Tier 1,,intelligence
org_intel_14b5fb15aee6,org_174c4423de9e,AFD,Donor,reporting; funding,27,27,0,RW; CD; KE; TZ; CM; CI; ET,Rwanda; Democratic Republic of the Congo; Kenya; Tanzania; CM; CI; Ethiopia,462232846.17,59.1,13,Diagnostic Equipment; Diagnostic equipment; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
org_intel_00dff5c7720b,org_a22a45033975,European Commission,Donor,reporting; funding,93,82,11,SS; ET; CD; RW; SO; KE; TZ; BD; GH; ID; MR; NP; LK; TH; UG,South Sudan; Ethiopia; Democratic Republic of the Congo; Rwanda; Somalia; Kenya; Tanzania; BD; GH; ID; MR; NP; LK; TH; Uganda,42725000.0,45.6,13,Facility / hospital infrastructure; Facility Infrastructure; Medical devices; Health IT / information systems,Tier 1,,intelligence
org_intel_48735b2c0072,org_787479b35a2f,Global - Health,Donor,funding,23,10,13,SS; CD; SO; KE; RW; TZ; ET,South Sudan; Democratic Republic of the Congo; Somalia; Kenya; Rwanda; Tanzania; Ethiopia,2081932398.0,66.1,12,Facility / hospital infrastructure; Medical devices; Facility Infrastructure,Tier 1,,intelligence
org_intel_0d023df1a094,org_eb571fae3b24,AMREF HEALTH AFRICA,Implementing Partner,implementing,36,8,28,SS,South Sudan,1997755772.0,61.9,12,Medical devices; Facility / hospital infrastructure; Facility Infrastructure,Tier 1,,intelligence
