source,current_run_status,record_count,active_opportunity_count,tender_reference_pct,source_url_pct,publication_date_pct,closing_date_pct,buyer_pct,notice_text_pct,document_link_pct,product_match_count,manufacturer_match_count,health_status,health_issues
AfDB,SUCCESS,28,0,0.0,100.0,0.0,0.0,100.0,10.7,0.0,0,0,REVIEW,low tender reference completeness; low publication date completeness
UNDP,SUCCESS,571,375,100.0,100.0,100.0,100.0,100.0,6.5,0.4,0,0,HEALTHY,
World Bank,SUCCESS,3116,3,98.5,100.0,99.9,36.0,56.0,99.9,4.8,166,10,HEALTHY,
