activity_id,country_code,percentage
CH-4-2022-2010005886,TZ,
CH-4-2024-2019008683,TZ,
CH-4-2024-2010006181,TZ,
XM-DAC-928-ET-2026-27-02.002.AF01.ETH01,ET,100.0
XM-DAC-928-TZ-2026-27-04.003.AF01.TZA01,TZ,100.0
XM-DAC-928-SO-2026-27-04.003.EM01.SOM01,SO,100.0
GB-COH-RC000660-NIHR156365,UG,18.0
GB-COH-RC000660-NIHR156365,KE,18.0
GB-COH-RC000660-NIHR156365,ET,26.0
GB-COH-RC000660-NIHR156365,GB,38.0
CH-4-2023-2010006182,TZ,
CH-4-2010005945,TZ,
CH-4-2008004810,CD,
CH-4-2008004811,CD,
CH-4-2008004838,CD,
CH-4-2008004805,CD,
CH-4-2008004806,CD,
BE-BCE_KBO-0415627875-PROG2017-2021_CD_OS4_1701C7_S,CD,100.0
CH-4-2008004838,CD,
XM-DAC-928-CD-2026-27-04.003.AF01.COD01,CD,100.0
XM-DAC-928-SS-2026-27-04.001.AF01.SSD03,SS,100.0
DE-1-202506004-8230,UG,100.0
XM-DAC-928-KE-2026-27-02.002.AF01.KEN01,KE,100.0
CH-4-2021-2008004876,CD,
CH-4-2021-2008004877,CD,
CH-4-2021-2008004878,CD,
CH-4-2008004876,CD,
CH-4-2008004877,CD,
CH-4-2008004878,CD,
CH-4-2018000988,TZ,
CH-4-2018000989,TZ,
CH-4-2018000990,TZ,
GB-GOV-1-300427-102,SS,100.0
GB-GOV-1-300427-103,SS,100.0
GB-GOV-1-300427-106,SS,100.0
CH-4-2024-2017008629,SO,
CH-4-2024-2017008631,SO,
CH-4-2024-2017008630,SO,
CH-4-2017005575,SO,
CH-4-2017005575,SO,
CH-4-2017005575,SO,
CH-4-2025-2017008702,SO,
CH-4-2025-2017008666,SO,
CH-4-2025-2017008744,SO,
CH-4-2021-2017005575,SO,
CH-4-2021-2017008055,SO,
CH-4-2021-2017008056,SO,
CH-4-2017005575,SO,
CH-4-2017007705,SO,
CH-4-2022-2017008055,SO,
CH-4-2022-2017008335,SO,
CH-4-2022-2017008336,SO,
CH-4-2023-2017008335,SO,
CH-4-2024-2017008666,SO,
CH-4-2024-2017008667,SO,
CH-4-2024-2017008668,SO,
CH-4-2002003348,TZ,
CH-4-2002003348,TZ,
CH-4-2018010655,CD,
CH-4-2008004807,CD,
CH-4-2008004808,CD,
CH-4-2008004835,CD,
CH-4-2008004802,CD,
CH-4-2008004835,CD,
CH-4-2008004808,CD,
KR-GOV-021-23ED00031,RW,100.0
XM-DAC-928-TZ-2026-27-04.001.AF01.TZA03,TZ,100.0
XM-DAC-928-SO-2026-27-04.001.EM01.SOM03,SO,100.0
DAC-1601-INV-070201,ET,37.0
DAC-1601-INV-070201,SO,63.0
BE-BCE_KBO-0264814354-RWA21001,RW,
XM-DAC-928-CD-2026-27-04.001.AF01.COD03,CD,100.0
GB-CHC-222655-LIGHT,GB,44.46
GB-CHC-222655-LIGHT,KE,19.34
GB-CHC-222655-LIGHT,NG,12.48
GB-CHC-222655-LIGHT,MW,12.24
GB-CHC-222655-LIGHT,UG,11.48
XM-DAC-928-UG-2026-27-04.003.AF01.UGA01,UG,100.0
CH-4-2022-2013006713,RW,
CH-4-2013006039,RW,
CH-4-2021-2013006713,RW,
CH-4-2021-2013006039,RW,
CH-4-2013006039,RW,
CH-4-2013006039,RW,
CH-4-2025-2013007216,RW,
CH-4-2013006039,RW,
CH-4-2023-2013007007,RW,
CH-4-2024-2013007007,RW,
KR-GOV-021-10ED00014,TZ,100.0
DAC-1601-INV-091012,KE,25.0
DAC-1601-INV-091012,UG,25.0
DAC-1601-INV-091012,ZM,25.0
BE-BCE_KBO-0463455904-PROG17-21_OS1,CD,100.0
XM-DAC-928-ET-2026-27-04.003.AF01.ETH01,ET,100.0
GB-COH-2695347-10922,KE,100.0
XM-DAC-928-KE-2026-27-04.003.AF01.KEN01,KE,100.0
XM-DAC-928-UG-2026-27-04.001.AF01.UGA03,UG,100.0
GB-CHC-222655-IMPALA,CM,1.2
GB-CHC-222655-IMPALA,ET,1.2
GB-CHC-222655-IMPALA,GH,1.2
GB-CHC-222655-IMPALA,KE,5.2
GB-CHC-222655-IMPALA,KE,4.2
GB-CHC-222655-IMPALA,MW,1.2
GB-CHC-222655-IMPALA,MW,3.1
GB-CHC-222655-IMPALA,NG,1.0
GB-CHC-222655-IMPALA,ZA,1.2
GB-CHC-222655-IMPALA,ZA,2.3
GB-CHC-222655-IMPALA,ZA,0.3
GB-CHC-222655-IMPALA,ZA,0.3
GB-CHC-222655-IMPALA,SD,3.9
GB-CHC-222655-IMPALA,TZ,0.8
GB-CHC-222655-IMPALA,TZ,5.1
GB-CHC-222655-IMPALA,UG,6.8
GB-CHC-222655-IMPALA,NZ,0.6
GB-CHC-222655-IMPALA,GB,0.5
GB-CHC-222655-IMPALA,GB,0.7
GB-CHC-222655-IMPALA,GB,59.2
XM-DAC-6-4-012932-01-0,ET,100.0
XM-DAC-928-ET-2026-27-04.001.AF01.ETH03,ET,100.0
DAC-1601-INV-060621,ZA,14.0
DAC-1601-INV-060621,CD,14.0
DAC-1601-INV-060621,ET,14.0
DAC-1601-INV-060621,KE,14.0
DAC-1601-INV-060621,NG,14.0
DAC-1601-INV-060621,ZM,14.0
GB-EDU-133903-NIHR200125-SHARP,ET,25.0
GB-EDU-133903-NIHR200125-SHARP,GH,29.0
GB-EDU-133903-NIHR200125-SHARP,GB,46.0
CA-3-P012539001,SS,100.0
XM-DAC-69-2-2018000001,KE,100.0
XI-IATI-WBTF-P175583,RW,
XM-DAC-928-KE-2026-27-04.001.AF01.KEN03,KE,100.0
GB-CHC-326568-4554149,KE,
NL-KVK-27378529-DHIF25D122,KE,100.0
KR-GOV-021-12ED00019,SS,100.0
GB-GOV-1-300427-101,SS,100.0
DE-1-202218105,CD,100.0
DE-1-202306009-7344,TZ,100.0
KR-GOV-021-09ED00009,TZ,100.0
KR-GOV-021-22ED00028,TZ,100.0
KR-GOV-021-22ED00010,TZ,100.0
KR-GOV-021-21ED00024,RW,100.0
GB-CHC-326568-4613071,KE,
XM-DAC-928-RW-2026-27-03.003.AF01.RWA01,RW,100.0
DAC-1601-INV-095061,RW,100.0
DAC-1601-INV-091669,RW,100.0
CH-4-2013006041,CD,
CH-4-2021-2013006793,CD,
CH-4-2021-2013006795,CD,
CH-4-2021-2013006796,CD,
CH-4-2013006041,CD,
CH-4-2013006041,CD,
CH-4-2025-2013007011,CD,
CH-4-2025-2013007217,CD,
CH-4-2025-2013007010,CD,
CH-4-2025-2013007011,CD,
CH-4-2024-2013007010,CD,
CH-4-2024-2013007011,CD,
CH-4-2013006041,CD,
CH-4-2022-2013006795,CD,
CH-4-2022-2013006796,CD,
CH-4-2023-2013007010,CD,
CH-4-2023-2013007011,CD,
CH-4-2024-2013007010,CD,
CH-4-2024-2013007011,CD,
GB-GOV-1-301416,SS,8.09
BE-BCE_KBO-0418766123-prg2022-212-RW2022TEA522A103,RW,
BE-BCE_KBO-0418766123-prg2022-113-RW2022SIN352A103,RW,
BE-BCE_KBO-0418766123-prg2022-114-RW2022SIN353A103,RW,
GB-GOV-21-HS1-004,RW,100.0
CH-4-2022-2016003480,CD,
CH-4-2021-2016003479,CD,
CH-4-2021-2016003480,CD,
CH-4-2016003480,CD,
CH-4-2016003479,CD,
KR-GOV-021-20ED00022,ET,100.0
KR-GOV-021-23ED00041,ET,100.0
XI-IATI-EC_INTPA-2024-PC-36260,RW,
GB-CHC-802353-APDA,ET,100.0
CH-4-2020001111,SS,
CH-4-2020001226,SS,
DAC-1601-INV-095684,CD,35.0
DAC-1601-INV-095684,ET,38.0
DAC-1601-INV-095684,NG,27.0
GB-GOV-1-300427-105,SS,100.0
NL-KVK-41207580-4000,KE,50.0
NL-KVK-41207580-4000,UG,25.0
NL-KVK-41207580-4000,ZM,25.0
GB-EDU-133903-ITD101170IR,BW,15.0
GB-EDU-133903-ITD101170IR,CD,10.0
GB-EDU-133903-ITD101170IR,GN,10.0
GB-EDU-133903-ITD101170IR,MW,15.0
GB-EDU-133903-ITD101170IR,MZ,10.0
GB-EDU-133903-ITD101170IR,ZA,20.0
GB-EDU-133903-ITD101170IR,VN,20.0
NL-KVK-27378529-CTM25KE01,KE,100.0
GB-CHC-1113101-AGL19,GH,25.0
GB-CHC-1113101-AGL19,TZ,25.0
GB-CHC-1113101-AGL19,KE,25.0
GB-CHC-1113101-AGL19,UG,25.0
